ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,refId_default,sfxVariationId,weight,basicPrice,sellValue,behaviorId,replaceItemId,sortId,appearanceReplaceItemId,yesNoDialogMessageId,useEnableSpEffectType,potGroupId,pad,iconId,modelId,shopLv,compTrophySedId,trophySeqId,maxNum,consumeHeroPoint,overDexterity,goodsType,refCategory,spEffectCategory,useItemConferBullets,goodsUseAnim,opmeMenuType,useLimitCategory,replaceCategory,reserve4,enable_live,enable_gray,enable_white,enable_black,enable_multi,disable_offline,isEquip,isConsume,isAutoEquip,isEstablishment,isOnlyOne,enableSparringGrounds,isDeposit,isDisableHand,isRemoveItem_forGameClear,isSuppleItem,isFullSuppleItem,isEnhance,isFixItem,enableVisualCodex,disableUseAtColiseum,disableUseAtOutOfColiseum,isEnableFastUseItem,isApplySpecialEffect,syncNumVaryId,refId_1,refVirtualWepId,vagrantItemLotId,carrySpEffectId,emptySpEffectId,castSfxId,fireSfxId,effectSfxId,enable_ActiveBigRune,isBonfireWarpItem,enable_Ladder,isUseMultiPlayPreparation,canMultiUse,isShieldEnchant,isWarpProhibited,isUseMultiPenaltyOnly,suppleType,autoReplenishType,isDrop,showLogCondType,isSummonHorse,showDialogCondType,isSleepCollectionItem,enableRiding,disableRiding,maxRepositoryNum,sortGroupId,isUseNoAttackRegion,pad1_old,saleValue,rarity,useLimitSummonBuddy,useLimitSpEffectType,aiUseJudgeId,consumeMP,consumeHP,reinforceGoodsId,reinforceMaterialId,reinforcePrice,useLevel_vowType0,useLevel_vowType1,useLevel_vowType2,useLevel_vowType3,useLevel_vowType4,useLevel_vowType5,useLevel_vowType6,useLevel_vowType7,useLevel_vowType8,useLevel_vowType9,useLevel_vowType10,useLevel_vowType11,useLevel_vowType12,useLevel_vowType13,useLevel_vowType14,useLevel_vowType15,useLevel,bagcraftMaxNum,bagcraftCategory,itemGetTutorialFlagId,characterInitId,itemConferBulletId,itemConferBulletId_1,sparringGroundsEventFlagId,level2RefId,level2RefId_1,level3RefId,level3RefId_1,level2_itemConferBulletId,level2_itemConferBulletId_1,level3_itemConferBulletId,level3_itemConferBulletId_1,bagcraftCategoryXp,fh_unknown_09c,fh_unknown_10,
0,,1,0,[0|0|0],-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,-1,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,255,1,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,[0|0|0|0]
2,[Shrouded City (L)] Favor of Noklateo- the Shrouded City,0,0,[0|0|0],-1,-1,0,0,-1,0,-1,40760,-1,-1,0,0,0,20292,0,-1,-1,-1,1,0,50,11,0,0,-1,0,0,0,0,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,2,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20,1,0,0,3,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,[0|0|0|0]
11,[Mountaintop (U)] Improved Frost Resistance,0,0,[0|0|0],-1,-1,0,0,-1,0,-1,40760,-1,-1,0,0,0,20208,0,-1,-1,-1,1,0,50,11,0,0,-1,0,0,0,0,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,11,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20,1,0,0,1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,[0|0|0|0]
12,[Mountaintop (U)] Attack Boost [Dragons],0,0,[0|0|0],-1,-1,0,0,-1,0,-1,40760,-1,-1,0,0,0,20206,0,-1,-1,-1,1,0,50,11,0,0,-1,0,0,0,0,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,12,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20,1,0,0,1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,[0|0|0|0]
51,,0,0,[0|0|0],40999,12,0,0,100,0,-1,999999,-1,-1,0,0,0,10040,0,-1,-1,-1,3,0,50,0,2,0,-1,7,0,0,0,[0|0],1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,20,1,0,0,9,0,609,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,[0|0|0|0]
52,,0,0,[0|0|0],30101,12,0,0,100,0,-1,1000,-1,-1,0,0,0,46,0,-1,-1,-1,3,0,50,0,2,0,-1,0,0,0,0,[0|0],1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,301033,-1,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,20,1,0,0,9,0,609,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,[0|0|0|0]
60,,1,0,[0|0|0],-1,-1,0,0,1,0,-1,999999,-1,-1,0,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,-1,255,0,0,0,[0|0],1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,255,1,0,1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,[0|0|0|0]
61,,1,0,[0|0|0],-1,-1,0,0,1,0,-1,999999,-1,-1,0,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,-1,255,0,0,0,[0|0],1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,255,1,0,1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,[0|0|0|0]
62,,1,0,[0|0|0],-1,-1,0,0,1,0,-1,999999,-1,-1,0,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,-1,255,0,0,0,[0|0],1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,255,1,0,1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,[0|0|0|0]
63,,1,0,[0|0|0],-1,-1,0,0,1,0,-1,999999,-1,-1,0,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,-1,255,0,0,0,[0|0],1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,255,1,0,1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,[0|0|0|0]
