ID,Name,textId,filterCategory,conditionalValue,displayEventFlag,endPadding,
10000,[Character-specific] Wylder,288050,10,1,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10010,[Character-specific] Guardian,288051,10,2,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10020,[Character-specific] Ironeye,288052,10,3,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10030,[Character-specific] Duchess,288053,10,4,6031,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10040,[Character-specific] Raider,288054,10,5,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10050,[Character-specific] Revenant,288055,10,6,6037,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10060,[Character-specific] Recluse,288056,10,7,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10070,[Character-specific] Executor,288057,10,8,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10080,[Character-specific] Scholar,288058,10,9,6038,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10090,[Character-specific] Undertaker,288059,10,10,6039,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20000,[Armament-specific] Dagger,60010,20,50,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20010,[Armament-specific] Straight Sword,60015,20,51,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20020,[Armament-specific] Greatsword,60020,20,52,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20030,[Armament-specific] Colossal Sword,60025,20,53,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20040,[Armament-specific] Curved Sword,60030,20,56,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20050,[Armament-specific] Curved Greatsword,60035,20,57,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20060,[Armament-specific] Katana,60040,20,58,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20070,[Armament-specific] Twinblade,60043,20,59,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20080,[Armament-specific] Thrusting Sword,60045,20,54,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20090,[Armament-specific] Heavy Thrusting Sword,60046,20,55,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20100,[Armament-specific] Axe,60050,20,60,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20110,[Armament-specific] Greataxe,60055,20,61,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20120,[Armament-specific] Hammer,60060,20,62,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20130,[Armament-specific] Great Hammer,60065,20,64,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20140,[Armament-specific] Flail,60067,20,63,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20150,[Armament-specific] Spear,60070,20,66,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20160,[Armament-specific] Great Spear,60077,20,67,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20170,[Armament-specific] Halberd,60080,20,68,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20180,[Armament-specific] Reaper,60085,20,69,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20190,[Armament-specific] Fist,60090,20,71,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20200,[Armament-specific] Claw,60100,20,72,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20210,[Armament-specific] Whip,60155,20,70,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20220,[Armament-specific] Colossal Weapon,60102,20,65,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20230,[Armament-specific] Bow,60105,20,73,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
