ID,Name,activateRange,
0,,-1
50,,3010
100000000,,45
100000001,,45
100001000,,60
100002000,,25
100003000,,50
110005000,,35
110005001,,30
110005020,,40
110005100,,40
110006000,,450
110100000,,110
110500000,,600
120005000,,50
120005010,,30
120005020,,1
130000000,,260
130000001,,40
130000002,,40
130000003,,40
130000004,,105
130000100,,140
130000200,,140
130001000,,150
130005000,,35
130005200,,50
130020000,,100
130030000,,80
130040000,,100
140000099,,35
140001000,,50
140002000,,50
150003000,,50
150005000,,30
150005020,,40
150005100,,50
150005230,,80
150005240,,30
150005300,,50
150006000,,10
150007000,,95
150009100,,40
150009200,,30
150009300,,20
150009400,,20
150009500,,5
160000100,,35
160001000,,50
160005000,,50
160005001,,55
160005100,,70
160005101,,55
160005110,,70
160005111,,50
160005200,,30
180005400,,20
300005000,,30
300005100,,50
300005400,,25
310005000,,40
310005010,,40
310005100,,55
310005101,,35
310005200,,55
310005210,,55
310005220,,55
310005300,,55
310005410,,40
310005420,,40
340100000,,410
340100010,,3510
340112000,,50
340115000,,50
340115001,,30
340115100,,60
340115101,,60
340115102,,110
340115103,,110
340305010,,85
350005000,,30
350005200,,70
350005201,,55
350005210,,110
350005300,,55
390005000,,30
390005100,,50
390005200,,200
600000000,,100
600000001,,90
600000002,,25
600000003,,40
600000010,,100
600000012,,50
600000099,,60
600000100,,8
600004000,,35
600005000,,35
600005010,,35
600005100,,35
600005110,,35
600005111,,30
600005112,,30
600005120,,30
600005121,,30
600005122,,30
600005130,,40
600005140,,35
600005150,,1
600005151,,35
600005152,,35
600005160,,100
600005170,,55
600005180,,70
600005200,,190
600005210,,50
600005211,,50
600005212,,50
600005400,,35
600005500,,80
600006000,,35
600006001,,35
600006002,,35
600006003,,35
600006004,,35
600006005,,35
600006006,,35
600006010,,35
600006011,,35
600006012,,35
600006020,,35
600006021,,35
600006030,,80
600007000,,70
600030000,,35
600030001,,180
600030010,,150
600030020,,250
600040000,,110
600040001,,70
600040010,,110
600040011,,70
600040012,,70
600040020,,40
600040021,,60
600040030,,60
600040100,,90
600040101,,90
600042000,,45
600043000,,45
600050000,,55
600052000,,250
600053000,,200
600090000,,2000
600090001,,310
600100002,,120
600102000,,60
600105000,,40
600105400,,55
600108000,,100
600109000,,100
600110000,,80
600120000,,80
600130000,,250
600205000,,100
600205010,,50
600205011,,50
600205100,,55
600206000,,110
600301000,,30
600302000,,40
600304000,,30
600305000,,30
600305010,,160
600305011,,55
600305410,,40
600308000,,80
600400000,,60
999999990,,0.5
999999991,,0.1
999999999,,100
