ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,hangPosType,isSkeletonBind,abilityDummyPolyId,right_0,left_0,both_0,leftHang_0,rightHang_0,right_1,left_1,both_1,leftHang_1,rightHang_1,right_2,left_2,both_2,leftHang_2,rightHang_2,right_3,left_3,both_3,leftHang_3,rightHang_3,wepInvisibleType_0,wepInvisibleType_1,wepInvisibleType_2,wepInvisibleType_3,leftBoth_0,leftBoth_1,leftBoth_2,leftBoth_3,dispPosType_right_0,dispPosType_left_0,dispPosType_rightBoth_0,dispPosType_leftBoth_0,dispPosType_rightHang_0,dispPosType_leftHang_0,dispPosType_right_1,dispPosType_left_1,dispPosType_rightBoth_1,dispPosType_leftBoth_1,dispPosType_rightHang_1,dispPosType_leftHang_1,dispPosType_right_2,dispPosType_left_2,dispPosType_rightBoth_2,dispPosType_leftBoth_2,dispPosType_rightHang_2,dispPosType_leftHang_2,dispPosType_right_3,dispPosType_left_3,dispPosType_rightBoth_3,dispPosType_leftBoth_3,dispPosType_rightHang_3,dispPosType_leftHang_3,reserve_old,
0,,0,0,[0|0|0],0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0]
1,,0,0,[0|0|0],1,0,-1,400,401,400,403,402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,400,-1,-1,-1,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,[0|0|0|0|0|0|0|0|0|0|0|0]
2,Ballista,0,0,[0|0|0],1,0,-1,404,405,410,2407,2406,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,410,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,[0|0|0|0|0|0|0|0|0|0|0|0]
3,,0,0,[0|0|0],1,0,-1,404,405,410,407,406,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,410,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,[0|0|0|0|0|0|0|0|0|0|0|0]
4,,0,0,[0|0|0],1,0,-1,20,405,21,407,406,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,21,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,[0|0|0|0|0|0|0|0|0|0|0|0]
5,,0,0,[0|0|0],1,0,-1,20,405,21,409,408,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,21,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,[0|0|0|0|0|0|0|0|0|0|0|0]
6,,0,0,[0|0|0],1,0,-1,20,405,21,409,406,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,21,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,[0|0|0|0|0|0|0|0|0|0|0|0]
7,,0,0,[0|0|0],1,0,-1,20,405,21,407,406,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,21,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,[0|0|0|0|0|0|0|0|0|0|0|0]
8,,0,0,[0|0|0],0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0]
9,,0,0,[0|0|0],0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0]
