ID,Name,unknown_0a,unknown_0b,unknown_0c,unknown_0d,unknown_1,unknown_2,unknown_3,unknown_4,unknown_5,unknown_6,unknown_7,unknown_8,unknown_9,unknown_10,unknown_11,unknown_12,padding_1,unknown_18,unknown_19,unknown_20,unknown_21,unknown_22,unknown_23,unknown_24,unknown_25,unknown_26,unknown_27,unknown_28,unknown_29,unknown_30,unknown_31,
0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,,0,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,,1,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,,2,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],1,1,1,1,1,1,1,1,1,1,1,1,1,1
