ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,menuType,triggerType,repeatType,pad1,imageId,pad2,unlockEventFlagId,textId,displayMinTime,displayTime,tutorialCategoryId,unknown_1b,unknown_2,unknown_3,unknown_4,pad3,
0,,1,0,[0|0|0],0,0,0,0,0,[0|0],0,-1,1,3,0,0,0,0,0,[0|0|0|0]
100,[Guide] Guide,0,0,[0|0|0],110,0,3,3,303,[0|0],0,400000,1,3,10,0,100,0,0,[0|0|0|0]
200,[Guide] Team Expeditions,0,0,[0|0|0],100,0,1,1,335,[0|0],0,403022,1,3,30,0,10155,0,0,[0|0|0|0]
1000,[Tutorial] Move,1,0,[0|0|0],1,0,0,0,0,[0|0],9810,101200,1,4.5,255,0,255,0,0,[0|0|0|0]
1010,[Tutorial] Using the Sacred Flask,1,0,[0|0|0],1,0,0,0,201,[0|0],9815,101260,2,5.5,255,0,255,0,0,[0|0|0|0]
1020,[Tutorial] Battle,1,0,[0|0|0],1,0,0,0,0,[0|0],9820,101210,1,9.5,255,0,255,0,0,[0|0|0|0]
1021,[Tutorial] Battle,1,0,[0|0|0],1,0,0,0,0,[0|0],9821,101210,1,9.5,255,0,255,0,0,[0|0|0|0]
1030,[Tutorial] Setting a Target,1,0,[0|0|0],1,0,0,0,0,[0|0],9825,101110,1,9.5,255,0,255,0,0,[0|0|0|0]
1040,[Tutorial] Jump,1,0,[0|0|0],1,0,0,0,0,[0|0],9830,101220,1,10,255,0,255,0,0,[0|0|0|0]
1050,[Tutorial] Guarding and Dodging,1,0,[0|0|0],1,0,0,0,0,[0|0],9835,101120,1,25,255,0,255,0,0,[0|0|0|0]
1070,[Tutorial] Dash,1,0,[0|0|0],1,0,0,0,0,[0|0],9845,101090,1,4.5,255,0,255,0,0,[0|0|0|0]
1080,[Tutorial] Surge Sprint,1,0,[0|0|0],1,0,0,0,0,[0|0],9850,101240,1,10,255,0,255,0,0,[0|0|0|0]
1090,[Tutorial] Wall Jump (Large),1,0,[0|0|0],1,0,0,0,0,[0|0],9855,101250,1,9.5,255,0,255,0,0,[0|0|0|0]
