ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,heroId,displaySlot,midPadding,hintTextId,spEffectId,shortcutTextId,
100,[Wylder] Passive Ability,1,0,[0|0|0],1,0,[0|0],144710,-1,-1
101,[Wylder] Character Skill,1,0,[0|0|0],1,1,[0|0],144810,-1,-1
102,[Wylder] Ultimate Art,1,0,[0|0|0],1,2,[0|0],144910,-1,-1
200,[Guardian] Passive Ability,1,0,[0|0|0],2,0,[0|0],144720,-1,-1
201,[Guardian] Character Skill,1,0,[0|0|0],2,1,[0|0],144820,-1,-1
202,[Guardian] Ultimate Art,1,0,[0|0|0],2,2,[0|0],144920,-1,-1
300,[Ironeye] Passive Ability,0,0,[0|0|0],3,0,[0|0],144730,-1,-1
301,[Ironeye] Character Skill,0,0,[0|0|0],3,1,[0|0],144830,-1,-1
302,[Ironeye] Ultimate Art,0,0,[0|0|0],3,2,[0|0],144930,-1,-1
400,[Duchess] Passive Ability,1,0,[0|0|0],4,0,[0|0],144740,-1,-1
401,[Duchess] Character Skill,1,0,[0|0|0],4,1,[0|0],144840,-1,-1
402,[Duchess] Ultimate Art,1,0,[0|0|0],4,2,[0|0],144940,-1,-1
500,[Raider] Passive Ability,0,0,[0|0|0],5,0,[0|0],144750,-1,-1
501,[Raider] Character Skill,0,0,[0|0|0],5,1,[0|0],144851,-1,-1
502,[Raider] Ultimate Art,0,0,[0|0|0],5,2,[0|0],144950,-1,-1
600,[Revenant] Passive Ability,0,0,[0|0|0],6,0,[0|0],144760,-1,-1
601,[Revenant] Character Skill,0,0,[0|0|0],6,1,[0|0],144861,603050,144862
602,[Revenant] Ultimate Art,0,0,[0|0|0],6,2,[0|0],144960,-1,-1
700,[Recluse] Passive Ability,1,0,[0|0|0],7,0,[0|0],144770,-1,-1
701,[Recluse] Character Skill,1,0,[0|0|0],7,1,[0|0],144871,603060,144872
702,[Recluse] Ultimate Art,1,0,[0|0|0],7,2,[0|0],144970,-1,-1
800,[Executor] Passive Ability,0,0,[0|0|0],8,0,[0|0],144780,-1,-1
801,[Executor] Character Skill,0,0,[0|0|0],8,1,[0|0],144881,603070,144882
802,[Executor] Ultimate Art,0,0,[0|0|0],8,2,[0|0],144981,603071,144982
900,[Scholar] Passive Ability,1,0,[0|0|0],9,0,[0|0],144790,-1,-1
901,[Scholar] Character Skill,1,0,[0|0|0],9,1,[0|0],144890,603080,144891
902,[Scholar] Ultimate Art,1,0,[0|0|0],9,2,[0|0],144990,-1,-1
1000,[Undertaker] Passive Ability,1,0,[0|0|0],10,0,[0|0],144795,-1,-1
1001,[Undertaker] Character Skill,1,0,[0|0|0],10,1,[0|0],144895,603090,144896
1002,[Undertaker] Ultimate Art,1,0,[0|0|0],10,2,[0|0],144995,-1,-1
