ID,Name,spEffect00,spEffect01,spEffect02,spEffect03,spEffect04,
0,,-1,-1,-1,-1,-1
7700,Minimal Threat,877001,877002,877003,877004,877005
7701,Minimal Threat,877001,877002,877003,877004,877005
7702,Minimal Threat,877001,877002,877003,877004,877005
7703,Minimal Threat,877001,877002,877003,877004,877005
7704,Minimal Threat,877001,877002,877003,877004,877005
7705,Minimal Threat,877551,877552,877553,877554,877555
7706,Minimal Threat,877561,877562,877563,877564,877565
7707,Minimal Threat,877671,877672,877673,877674,877675
7708,Minimal Threat,877001,877002,877003,877004,877005
7709,Minimal Threat,877001,877002,877003,877004,877005
7710,Small Threat,877101,877102,877103,877104,877105
7711,Small Threat,877101,877102,877103,877104,877105
7712,Small Threat,877101,877102,877103,877104,877105
7713,Small Threat,877101,877102,877103,877104,877105
7714,Small Threat,877101,877102,877103,877104,877105
7715,Small Threat,877551,877552,877553,877554,877555
7716,Small Threat,877561,877562,877563,877564,877565
7717,Small Threat,877671,877672,877673,877674,877675
7718,Small Threat,877101,877102,877103,877104,877105
7719,Small Threat,877101,877102,877103,877104,877105
7720,Medium Threat,877201,877202,877203,877204,877205
7721,Medium Threat,877201,877202,877203,877204,877205
7722,Medium Threat,877201,877202,877203,877204,877205
7723,Medium Threat,877201,877202,877203,877204,877205
7724,Medium Threat,877201,877202,877203,877204,877205
7725,Medium Threat,877551,877552,877553,877554,877555
7726,Medium Threat,877561,877562,877563,877564,877565
7727,Medium Threat,877671,877672,877673,877674,877675
7728,Medium Threat,877201,877202,877203,877204,877205
7729,Medium Threat,877201,877202,877203,877204,877205
7730,Large Threat,877301,877302,877303,877304,877305
7731,Large Threat,877301,877302,877303,877304,877305
7732,Large Threat,877301,877302,877303,877304,877305
7733,Large Threat,877301,877302,877303,877304,877305
7734,Large Threat,877301,877302,877303,877304,877305
7735,Large Threat,877551,877552,877553,877554,877555
7736,Large Threat,877561,877562,877563,877564,877565
7737,Large Threat,877671,877672,877673,877674,877675
7738,Large Threat,877301,877302,877303,877304,877305
7739,Large Threat,877301,877302,877303,877304,877305
7740,Field Boss Threat,877401,877402,877403,877404,877405
7741,Field Boss Threat,877401,877402,877403,877404,877405
7742,Field Boss Threat,877401,877402,877403,877404,877405
7743,Field Boss Threat,877401,877402,877403,877404,877405
7744,Field Boss Threat,877441,877442,877443,877444,877445
7745,Field Boss Threat,877551,877552,877553,877554,877555
7746,Field Boss Threat,877561,877562,877563,877564,877565
7747,Field Boss Threat,877671,877672,877673,877674,877675
7748,Field Boss Threat,877401,877402,877403,877404,877405
7749,Field Boss Threat,877401,877402,877403,877404,877405
7750,Night Boss Threat,877501,877502,877503,877504,877505
7751,Night Boss Threat,877501,877502,877503,877504,877505
7752,Night Boss Threat,877501,877502,877503,877504,877505
7753,Night Boss Threat,877531,877532,877533,877534,877535
7754,Night Boss Threat,877541,877542,877543,877544,877545
7755,Night Boss Threat,877551,877552,877553,877554,877555
7756,Night Boss Threat,877561,877562,877563,877564,877565
7757,Night Boss Threat,877671,877672,877673,877674,877675
7758,Night Boss Threat,877581,877582,877583,877584,877585
7759,Night Boss Threat,877501,877502,877503,877504,877505
7760,Final Boss Threat,877601,877602,877603,877604,877605
7761,Final Boss Threat,877601,877602,877603,877604,877605
7762,Final Boss Threat,877601,877602,877603,877604,877605
7763,Final Boss Threat,877601,877602,877603,877604,877605
7764,Final Boss Threat,877601,877602,877603,877604,877605
7765,Final Boss Threat,877551,877552,877553,877554,877555
7766,Final Boss Threat,877561,877562,877563,877564,877565
7767,Final Boss Threat,877671,877672,877673,877674,877675
7768,Final Boss Threat,877601,877602,877603,877604,877605
7769,Final Boss Threat,877601,877602,877603,877604,877605
7770,Maris Adds,877701,877702,877703,877704,877705
7771,Maris Adds,877701,877702,877703,877704,877705
7772,Maris Adds,877701,877702,877703,877704,877705
7773,Maris Adds,877701,877702,877703,877704,877705
7774,Maris Adds,877701,877702,877703,877704,877705
7775,Maris Adds,877551,877552,877553,877554,877555
7776,Maris Adds,877561,877562,877563,877564,877565
7777,Maris Adds,877771,877772,877773,877774,877775
7778,Maris Adds,877701,877702,877703,877704,877705
7779,Maris Adds,877701,877702,877703,877704,877705
7780,Night Invader,877801,877802,877803,877804,877805
98810,Gladius Raid,98851,98852,98853,98854,98855
98815,Harmonia Raid,98861,98862,98863,98864,98865
98820,Caligo Raid,98841,98842,98843,98844,98845
98830,Lightning Ball,98871,98872,98873,98874,98875
99000,Revenant - Helen,296530,296531,296532,296533,296534
99001,Revenant - Frederick,296540,296541,296542,296543,296544
99002,Revenant - Sebastian,296550,296551,296552,296553,296554
99010,Executor - Beast Form,707220,707221,707222,707223,707224
