ID,Name,materialId01,materialId02,materialId03,materialId04,materialId05,materialId06,pad_id,itemNum01,itemNum02,itemNum03,itemNum04,itemNum05,itemNum06,pad_num,materialCate01,materialCate02,materialCate03,materialCate04,materialCate05,materialCate06,pad_cate,isDisableDispNum01,isDisableDispNum02,isDisableDispNum03,isDisableDispNum04,isDisableDispNum05,isDisableDispNum06,pad,
0,Common Weapon,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,-1,-1,-1,-1,-1,[0|0],15,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
1,Common Weapon +1 (Blue),10100,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],1,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
2,Common Weapon +2 (Purple),10101,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],1,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
3,Common Weapon +3 (Gold),10102,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],1,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
4,,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,-1,-1,-1,-1,-1,[0|0],15,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
5,,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,-1,-1,-1,-1,-1,[0|0],15,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
100,Uncommon Weapon,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,-1,-1,-1,-1,-1,[0|0],15,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
101,Uncommon Weapon +1 (Purple),10101,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],1,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
102,Uncommon Weapon +2 (Gold),10102,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],1,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
103,,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,-1,-1,-1,-1,-1,[0|0],15,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
104,,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,-1,-1,-1,-1,-1,[0|0],15,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
105,,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,-1,-1,-1,-1,-1,[0|0],15,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
200,Rare Weapon,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,-1,-1,-1,-1,-1,[0|0],15,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
201,Rare Weapon +1 (Gold),10102,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],1,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
202,,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,-1,-1,-1,-1,-1,[0|0],15,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
203,,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,-1,-1,-1,-1,-1,[0|0],15,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
204,,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,-1,-1,-1,-1,-1,[0|0],15,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
205,,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,-1,-1,-1,-1,-1,[0|0],15,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
10000,,10900,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],1,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
10001,,10901,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],1,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
10002,,10902,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],1,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
10003,,10903,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],1,-1,-1,-1,-1,-1,[0|0],4,15,15,15,15,4,[0|0],0,0,0,0,0,0,[0|0|0]
