ID,Name,unknown_0,nameId,warpPointEntityId,menuAutoOpenEventFlag,appearanceEventFlag,iconId,MapLayer,unknown_1,mapPositionEntityId,unknown_7,
1000,Expeditions,1,102000,10002200,10002700,0,170,0,1,10002210,0
1010,Character Selection,1,102001,10002201,10002701,0,171,0,1,0,0
1020,Change Garb,0,102002,10002202,10002702,6050,172,0,2,0,0
1030,Relic Rites,1,102003,10002203,10002703,0,173,0,1,0,0
1040,Visual Codex,1,102004,10002204,10002704,0,174,0,2,0,0
1050,Journal,0,102005,10002205,10002705,0,175,0,2,0,0
1060,Small Jar Bazaar,0,102006,10002206,10002706,10001963,176,0,2,0,0
1061,Small Jar Bazaar (DLC),0,102006,10002217,10002706,10001964,176,0,2,0,0
1065,Collector Signboard,0,102060,10002213,10002707,10001860,179,0,2,0,0
1070,Garden,0,102014,10002209,0,0,0,0,2,0,0
1080,Shore,0,102013,10002208,0,0,0,0,2,0,0
1090,Waiting Room,0,102016,10002214,0,0,0,0,2,0,0
1091,Chapel,1,102018,10002216,0,10001961,0,0,2,0,0
1100,Crypt,0,102015,10002211,0,10001850,0,1,2,0,0
1110,Sparring Grounds,1,102007,10002207,0,0,177,0,2,0,0
