ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,unknown_1,areaNo,gridXNo,gridZNo,pad,posX,posZ,endPad,
1000,,1,0,[0|0|0],1136123059,60,43,37,0,-103.176,19.2519,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1001,,1,0,[0|0|0],1136123059,60,43,38,0,-81.1323,-20.7449,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1002,,1,0,[0|0|0],1136123059,60,43,38,0,-92.252,95.772,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1003,,1,0,[0|0|0],1136123059,60,44,37,0,0.2246,-81.4345,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1004,,1,0,[0|0|0],1136123059,60,44,37,0,-77.6245,-2.9842,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1005,,1,0,[0|0|0],1136123059,60,43,37,0,4.6966,-87.4456,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1006,,1,0,[0|0|0],1136123059,60,44,38,0,-122.186,-40.5235,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1007,,1,0,[0|0|0],1136123059,60,43,37,0,91.0531,-98.4316,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1008,,1,0,[0|0|0],1136123059,60,43,38,0,72.9518,-16.855,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1009,,1,0,[0|0|0],1136123059,60,44,37,0,92.6084,-90.9201,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1010,,1,0,[0|0|0],1136123059,60,44,37,0,-56.2641,88.3487,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1011,,1,0,[0|0|0],1136123059,60,44,38,0,67.5244,99.3702,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1021,,1,0,[0|0|0],1136123059,60,44,37,0,60,-60,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1022,,1,0,[0|0|0],1136123059,60,44,37,0,60,-60,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1023,,1,0,[0|0|0],1136123059,60,43,38,0,-80,80,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1024,,1,0,[0|0|0],1136123059,60,43,38,0,100,30,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1025,,1,0,[0|0|0],1136123059,60,43,37,0,-120,-105,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1026,,1,0,[0|0|0],1136123059,60,44,37,0,-25.8547,95.3979,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
11000,,1,0,[0|0|0],1136123059,60,43,37,0,-46.5548,-94.8086,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
11001,,1,0,[0|0|0],1136123059,60,44,37,0,25,-25,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
11002,,1,0,[0|0|0],1136123059,60,44,37,0,-77.6585,-19.4158,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
12000,,1,0,[0|0|0],1136123059,60,43,38,0,9.05,35.98,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
12001,,1,0,[0|0|0],1136197632,60,44,37,0,108.73,103.69,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
19998,,1,0,[0|0|0],1136123059,60,43,37,0,-103.176,19.2519,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
19999,,1,0,[0|0|0],1136123059,60,43,38,0,-81.1323,-20.7449,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
