ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,itemCategory,itemId,chanceWeight,quantity,onlyForClass,eventFlagId,unknown_6,unknown_7,midstPadding,weaponTypeDiscovery,
0,,1,0,[0|0|0],0,0,100,0,0,0,-1,0,[0|0|0|0],-1
100,<Table> [Common] Longsword,0,0,[0|0|0],2,2000000,500,1,0,0,-1,0,[0|0|0|0],-1
100,<Table>,0,0,[0|0|0],2,2000100,100,1,0,0,-1,0,[0|0|0|0],-1
100,<Table>,0,0,[0|0|0],2,2000200,100,1,0,0,-1,0,[0|0|0|0],-1
100,<Table>,0,0,[0|0|0],2,2000300,100,1,0,0,-1,0,[0|0|0|0],-1
100,<Table>,0,0,[0|0|0],2,2000400,10,1,0,0,-1,0,[0|0|0|0],-1
100,<Table> [Common] Fire Longsword,0,0,[0|0|0],2,2000500,10,1,0,0,-1,0,[0|0|0|0],-1
100,<Table> [Common] Lightning Longsword,0,0,[0|0|0],2,2000600,10,1,0,0,-1,0,[0|0|0|0],-1
100,<Table> [Common] Sacred Longsword,0,0,[0|0|0],2,2000700,10,1,0,0,-1,0,[0|0|0|0],-1
100,<Table> [Common] Magic Longsword,0,0,[0|0|0],2,2000800,10,1,0,0,-1,0,[0|0|0|0],-1
100,<Table> [Common] Cold Longsword,0,0,[0|0|0],2,2000900,10,1,0,0,-1,0,[0|0|0|0],-1
101,[Common] Dagger,0,0,[0|0|0],6,1000000,500,1,0,0,-1,0,[0|0|0|0],-1
102,[Rare] Reduvia,0,0,[0|0|0],6,1040000,500,1,0,0,-1,0,[0|0|0|0],-1
103,[Uncommon] Bloodstained Dagger,0,0,[0|0|0],6,1140000,500,1,0,0,-1,0,[0|0|0|0],-1
104,[Blood] Bloodstained Dagger,0,0,[0|0|0],6,1140100,500,1,0,0,-1,0,[0|0|0|0],-1
110,<Table> [Rare] Black Knife,0,0,[0|0|0],6,1010000,50,1,0,0,-1,0,[0|0|0|0],-1
110,<Table> [Rare] Black Knife,0,0,[0|0|0],6,1010000,50,1,0,0,-1,0,[0|0|0|0],-1
111,<Table> [Uncommon] Miséricorde,0,0,[0|0|0],6,1030000,50,1,0,0,-1,0,[0|0|0|0],-1
111,<Table> [Uncommon] Miséricorde,0,0,[0|0|0],6,1030000,50,1,0,0,-1,0,[0|0|0|0],-1
112,<Table> [Rare] Reduvia,0,0,[0|0|0],6,1040000,50,1,0,0,-1,0,[0|0|0|0],-1
112,<Table> [Rare] Reduvia,0,0,[0|0|0],6,1040000,50,1,0,0,-1,0,[0|0|0|0],-1
45000,<Table> Table,1,0,[0|0|0],7,45101,100,1,0,9098,-1,0,[0|0|0|0],-1
45000,<Table> Table,1,0,[0|0|0],7,45102,100,1,0,9099,-1,0,[0|0|0|0],-1
45000,<Table> Table,1,0,[0|0|0],7,45001,100,1,0,9090,-1,0,[0|0|0|0],-1
45000,<Table> Table,1,0,[0|0|0],7,45002,100,1,0,9091,-1,0,[0|0|0|0],-1
45000,<Table> Table,1,0,[0|0|0],7,45003,100,1,0,9092,-1,0,[0|0|0|0],-1
45000,<Table> Table,1,0,[0|0|0],7,45004,100,1,0,9093,-1,0,[0|0|0|0],-1
45000,<Table> Table,1,0,[0|0|0],7,45005,100,1,0,9094,-1,0,[0|0|0|0],-1
45000,<Table> Table,1,0,[0|0|0],7,45006,100,1,0,9095,-1,0,[0|0|0|0],-1
