ID,Name,textID,key,enableUnassign,enablePadConfig,enableMouseConfig,group,mappingTextID,viewPad,viewKeyboardMouse,padding,
1,,280010,-1,0,0,0,0,0,1,1,[0|0|0|0|0|0]
2,,-1,100,0,0,0,0,0,0,1,[0|0|0|0|0|0]
3,,-1,101,0,0,0,0,0,1,1,[0|0|0|0|0|0]
4,,-1,102,0,0,0,0,0,1,1,[0|0|0|0|0|0]
5,,-1,103,0,0,0,0,0,1,1,[0|0|0|0|0|0]
6,,-1,104,0,0,0,0,0,1,1,[0|0|0|0|0|0]
7,,-1,106,0,0,0,0,0,1,1,[0|0|0|0|0|0]
8,,-1,107,0,0,0,0,0,1,1,[0|0|0|0|0|0]
9,,-1,105,0,0,0,0,0,1,1,[0|0|0|0|0|0]
10,,280020,-1,0,0,0,0,0,1,1,[0|0|0|0|0|0]
11,,-1,108,0,0,0,0,0,1,1,[0|0|0|0|0|0]
12,,-1,109,0,0,0,0,0,1,1,[0|0|0|0|0|0]
13,,-1,110,0,0,0,0,0,1,1,[0|0|0|0|0|0]
14,,-1,111,0,0,0,0,0,1,1,[0|0|0|0|0|0]
15,,-1,112,0,0,0,0,0,1,1,[0|0|0|0|0|0]
16,,280030,-1,0,0,0,0,0,1,1,[0|0|0|0|0|0]
17,,-1,114,0,0,0,0,0,1,1,[0|0|0|0|0|0]
18,,-1,130,0,0,0,0,0,0,1,[0|0|0|0|0|0]
19,,-1,115,0,0,0,0,0,1,1,[0|0|0|0|0|0]
20,,-1,116,0,0,0,0,0,1,1,[0|0|0|0|0|0]
21,,-1,124,0,0,0,0,0,0,1,[0|0|0|0|0|0]
22,,-1,125,0,0,0,0,0,0,1,[0|0|0|0|0|0]
23,,280040,-1,0,0,0,0,0,1,1,[0|0|0|0|0|0]
24,,-1,117,0,0,0,0,0,1,1,[0|0|0|0|0|0]
25,,-1,118,0,0,0,0,0,1,1,[0|0|0|0|0|0]
26,,-1,119,0,0,0,0,0,1,1,[0|0|0|0|0|0]
27,,-1,120,0,0,0,0,0,1,1,[0|0|0|0|0|0]
28,,-1,127,0,0,0,0,0,0,1,[0|0|0|0|0|0]
29,,-1,126,0,0,0,0,0,0,1,[0|0|0|0|0|0]
30,,-1,113,0,0,0,0,0,1,1,[0|0|0|0|0|0]
31,,-1,129,0,0,0,0,0,0,1,[0|0|0|0|0|0]
32,,-1,121,0,0,0,0,0,1,1,[0|0|0|0|0|0]
33,,-1,122,0,0,0,0,0,1,1,[0|0|0|0|0|0]
34,,-1,131,0,0,0,0,0,0,1,[0|0|0|0|0|0]
35,,-1,132,0,0,0,0,0,0,1,[0|0|0|0|0|0]
36,,280503,-1,0,0,0,0,0,1,1,[0|0|0|0|0|0]
37,,-1,300,0,0,0,0,0,1,1,[0|0|0|0|0|0]
38,,-1,301,0,0,0,0,0,1,1,[0|0|0|0|0|0]
39,,-1,306,0,0,0,0,0,1,1,[0|0|0|0|0|0]
40,,-1,307,0,0,0,0,0,1,1,[0|0|0|0|0|0]
41,,-1,309,0,0,0,0,0,1,1,[0|0|0|0|0|0]
42,,-1,310,0,0,0,0,0,1,1,[0|0|0|0|0|0]
43,,-1,311,0,0,0,0,0,1,1,[0|0|0|0|0|0]
44,,-1,308,0,0,0,0,0,1,1,[0|0|0|0|0|0]
45,,280060,-1,0,0,0,0,0,0,1,[0|0|0|0|0|0]
46,,-1,1,0,0,0,0,0,0,0,[0|0|0|0|0|0]
47,,280600,2,0,0,0,0,0,0,1,[0|0|0|0|0|0]
48,,-1,128,0,0,0,0,0,0,1,[0|0|0|0|0|0]
49,,-1,208,0,0,0,0,0,0,0,[0|0|0|0|0|0]
50,,-1,209,0,0,0,0,0,0,0,[0|0|0|0|0|0]
