ID,Name,unknown_0,
0,,0
40300,,0
40500,,0
110000,,1
110001,,256
110010,,1
110011,,256
110020,,512
110030,,512
110040,,512
110050,,1
110060,,512
110070,,1
110080,,1
110316,,1
110570,,512
111100,,256
111101,,512
111102,,1
111103,,1
111104,,256
111105,,1
111106,,1
111107,,1
111110,,1
134000,,1
136000,,1
136002,,1
136003,,1
136004,,1
136005,,1
136006,,1
136007,,1
136008,,1
136009,,1
136010,,1
136011,,1
136012,,1
136013,,1
138160,,1
138161,,1
138200,,1
138262,,1
140000,,1
140001,,1
142000,,1
142020,,1
142030,,1
144000,,1
146000,,1
146100,,1
146110,,256
146120,,256
146130,,256
146199,,256
146200,,1
231000,,1
231020,,1
280002,,1
280003,,1
280004,,1
280005,,1
280006,,1
280007,,1
280008,,1
280009,,1
280010,,1
280011,,1
280012,,1
280013,,1
290004,,0
290100,,0
401701,,0
401702,,0
401703,,0
404010,,0
404020,,0
406011,,0
406012,,0
406013,,0
506011,,0
506012,,1
506014,,1
506015,,1
506017,,1
506018,,1
506020,,0
506021,,0
506022,,0
506023,,1
506030,,1
506040,,1
506050,,0
506051,,1
506052,,1
506053,,1
506054,,1
506055,,1
506060,,0
506070,,1
506100,,1
506101,,1
620100,,1
620110,,1
700000,,1
700010,,1
700020,,1
20002002,,1
20002003,,1
21012001,,1
21012002,,1
21032001,,1
21032002,,1
21082001,,1
21082002,,1
22092010,,1
22092011,,1
23092013,,1
23092014,,1
23112000,,1
23112001,,1
26092000,,1
26092001,,1
