ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,weight,unknown_1,sellValue,sortId,iconId,unknown_2,accessoryGroup,unknown_3,rarity,sortGroupId,unknown_4,unknown_5a,unknown_5b,isDrop,unknown_5d,unknown_5e,unknown_5f,unknown_5g,enableVisualCodex,unknown_6,spEffectId_1,spEffectId_2,spEffectId_3,endPadding,
100,,1,0,[0|0|0],1,-1,0,0,0,-1,-1,0,0,255,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1000,[Uncommon] Crimson Amber Medallion,1,0,[0|0|0],0.3,0,100,400000,18000,-1,1000,0,1,10,-1,1,0,1,0,0,0,0,1,0,310000,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1010,[Uncommon] Cerulean Amber Medallion,1,0,[0|0|0],0.3,0,100,400050,18010,-1,1010,0,1,10,-1,1,0,1,0,0,0,0,1,0,310100,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1020,[Uncommon] Viridian Amber Medallion,1,0,[0|0|0],0.3,0,100,400090,18020,-1,1020,0,1,10,-1,1,0,1,0,0,0,0,1,0,310200,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1040,[Uncommon] Erdtree's Favor,1,0,[0|0|0],1.5,0,500,400160,18040,-1,1040,0,1,10,-1,1,0,1,0,0,0,0,1,0,310400,310401,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1100,[Uncommon] Silver Scarab,1,0,[0|0|0],1.2,0,500,406000,18110,-1,1100,0,1,70,-1,1,0,1,0,0,0,0,1,0,311000,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1110,[Uncommon] Gold Scarab,1,0,[0|0|0],1.2,0,500,406010,18120,-1,1110,0,1,70,-1,1,0,1,0,0,0,0,1,0,311100,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1150,[Uncommon] Green Turtle Talisman,1,0,[0|0|0],0.7,0,500,400120,18160,-1,1150,0,1,10,-1,1,0,1,0,0,0,0,1,0,311500,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1160,[Uncommon] Stalwart Horn Charm,1,0,[0|0|0],0.6,0,500,401210,18170,-1,1160,0,1,20,-1,1,0,1,0,0,0,0,1,0,311600,311601,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1170,[Uncommon] Immunizing Horn Charm,1,0,[0|0|0],0.6,0,500,401190,18180,-1,1170,0,1,20,-1,1,0,1,0,0,0,0,1,0,311700,311701,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
