ID,Name,edgeColorA,frontColorA,diffMulColorA,specMulColorA,lightColorA,edgeColorR,edgeColorG,edgeColorB,frontColorR,frontColorG,frontColorB,diffMulColorR,diffMulColorG,diffMulColorB,specMulColorR,specMulColorG,specMulColorB,lightColorR,lightColorG,lightColorB,reserve,alpha,blendRate,blendType,isEdgeSubtract,isFrontSubtract,isNo2Pass,edgePower,glowScale,
1,,10,0,1,1,1,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,0,1,1,0,0,0,0,1.2,0
18,,0.91,0.65,1,1,0,200,200,200,100,100,100,255,255,255,255,255,255,0,0,0,0,1,1,0,0,0,0,1.2,0.6
19,,0.65,0.39,1.3,1,0,150,200,230,100,135,155,155,255,255,255,255,255,0,0,0,0,1,1,0,0,0,0,6,0.2
28,,0.2,0.2,1.5,1,0,150,150,180,150,150,180,255,255,255,255,255,255,255,255,255,0,1,1,0,0,0,0,6,0
29,,0.65,0.39,1.3,1,0,255,225,185,140,130,110,255,225,180,255,255,255,0,0,0,0,1,1,0,0,0,0,1.2,0.6
32,,0.26,0.13,1.5,1,0,150,100,255,150,100,255,200,200,255,255,255,255,255,255,255,0,1,1,0,0,0,0,1.2,0
44,,0.65,0.26,1.3,1,0,255,235,145,150,140,90,255,225,180,255,255,255,0,0,0,0,1,1,0,0,0,0,1.2,0.6
50,,0.4,0.26,1.3,1,0,150,200,230,100,135,155,155,255,255,255,255,255,0,0,0,0,1,1,0,0,0,0,6,0.6
51,,0.65,0.26,1,1,0,200,200,200,100,100,100,255,255,255,255,255,255,0,0,0,0,1,1,0,0,0,0,1.2,0.6
60,Red Phantom,0.65,0.65,1,1,0,255,90,90,40,60,60,255,210,190,255,255,255,255,255,255,0,1,1,0,0,1,0,0.84,0.1
61,Gold Phantom,0.91,0.52,1,1,0,200,160,120,50,75,95,255,255,255,255,255,255,255,255,255,0,1,1,0,0,1,0,0.84,0.1
62,Gold Phantom,0.91,0.52,1,1,0,200,160,120,50,75,95,255,255,255,255,255,255,255,255,255,0,1,1,0,0,1,0,0.84,0.1
70,Blue Phantom,0.91,0.52,1,1,0,142,148,255,62,65,40,255,255,255,255,255,255,255,255,255,0,1,1,0,0,1,0,0.84,0.1
200,Spirit Summon,1.5,0.5,0.5,1,0,250,250,255,120,130,160,255,255,255,255,255,255,255,255,255,0,1,1,0,0,0,0,0.6,0.2
201,Puppet Summon,1.3,0.4,0.25,1,0.05,200,225,255,45,90,150,255,255,255,255,255,255,210,230,255,0,1,1,0,0,0,0,0.6,0.1
202,,0.39,0.9,0,1,0,255,255,255,70,70,70,255,255,255,255,255,255,255,255,255,0,0.5,1,0,0,0,0,0.6,0.1
211,,1.95,0.9,0,1,0,100,100,100,20,20,20,255,255,255,255,255,255,255,255,255,0,1,1,0,0,1,0,1.8,0.1
220,,0.65,0.7,1,0,0.03,155,255,245,100,100,50,255,255,255,255,255,255,255,255,200,0,1,1,0,0,1,0,0.96,0
230,,1,0.7,0.5,0,0,225,235,255,150,150,150,255,255,255,255,255,255,255,255,255,0,0.75,1,0,0,0,0,0.9,0.2
231,,2.6,0.39,0.099999994,0,0,255,255,255,255,255,255,255,255,255,0,0,0,0,0,0,0,0.75,1,0,0,0,0,6,0.02
240,Mausoleum Spirit,2,0.5,0.2,1,0,95,90,85,20,20,25,235,235,255,255,255,255,255,255,255,0,1,1,0,0,0,0,1.2,0.2
250,,7.8,0.8,0.7,0,0,150,160,200,120,130,150,190,220,255,0,0,0,0,0,0,0,0.6,1,0,0,0,0,0.84,0.06
260,Ancestral Follower?,1.3,0.5,2,1,0,190,230,255,120,120,140,225,235,255,255,255,255,255,255,255,0,0.8,1,0,0,0,0,0.84,0.14
270,,5,0.7,0,1,0,255,230,170,255,235,125,255,255,255,255,255,255,255,255,255,0,0.6,1,0,0,0,0,0.72,0.06
290,,5,10,1,1,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,1,1,4,1,0,0,1.32,0.04
300,,6,0.5,3,1,0,210,230,255,20,20,20,150,170,190,255,255,255,255,255,255,0,0.7,1,0,0,1,0,0.72,0.06
310,,0.39,0.9,1,1,0,210,245,255,60,60,60,255,255,255,255,255,255,255,255,255,0,1,1,0,0,0,0,1.2,0.6
320,,1.3,0,1,1,0,255,255,255,0,0,0,255,255,255,255,255,255,0,0,0,0,1,1,0,0,0,0,0.6,0.08
330,,2,0.8,1,1,0.1,200,230,255,60,60,80,255,255,255,255,255,255,195,205,255,0,0.7,1,0,0,0,0,1.2,0.35
340,,1,0.9,0.5,0,0,225,235,255,130,130,130,255,255,255,255,255,255,255,255,255,0,0.75,1,0,0,0,0,0.9,0.2
350,,1,0.9,0.5,0,0,225,235,255,130,130,130,255,255,255,255,255,255,255,255,255,0,0.75,1,0,0,0,0,0.9,0.2
360,,1.3,0.7,0.25,1,0.05,180,205,235,30,60,100,255,255,255,255,255,255,190,210,235,0,1,1,0,0,0,0,0.6,0.06
370,Restage Phantom,3,1,1,0,0,225,235,255,130,130,130,255,255,255,255,255,255,255,255,255,0,0.2,1,0,0,0,0,0.9,0.2
380,,2.8,0,0.8,0,1,255,30,30,0,0,0,255,255,255,0,0,0,255,255,255,0,0.5,1,0,0,0,0,3,0.6
390,Gladius Raid Flame Wolf,1,1,0.2,0,1,105,40,10,0,0,0,255,255,255,0,0,0,255,255,255,0,0.8,1,0,0,0,0,2.4,0.6
420,,0.7,0.7,1.5,1,0,250,230,210,75,70,65,255,255,255,255,255,255,255,255,255,0,1,1,0,0,0,0,0.7,0.4
800,,7.15,7.8,1,1,0,115,145,195,20,30,35,255,255,255,255,255,255,255,255,255,0,1,1,0,0,0,0,0.84,0.1
803,,2.6,0,1,1,0,215,200,160,0,0,0,255,255,255,255,255,255,255,255,255,0,1,1,0,0,0,0,0.72,0.08
804,,5.85,0,1,1,0,215,200,160,0,0,0,255,255,255,255,255,255,255,255,255,0,1,1,0,0,0,0,1.08,0.08
805,,0.78,0,1,0,0,255,120,30,0,0,0,255,255,255,255,0,0,255,255,255,0,1,1,0,0,0,0,0.96,0
810,,9.1,10,0.3,0,0,125,185,255,20,40,60,80,100,100,0,0,0,255,255,255,0,0,1,0,0,0,0,1.44,0.46
811,,9.1,10,0.3,0,0,125,185,255,20,40,60,80,100,100,0,0,0,255,255,255,0,1,1,0,0,0,0,1.44,0.46
812,,9.1,10,1,0,0,26,37,51,10,20,30,255,255,255,0,0,0,255,255,255,0,1,1,0,0,0,0,1.56,0.46
813,,10,10,1,1,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255,255,0,1,1,0,0,0,0,1.2,0
820,,10,7.8,1,1,0.1,145,145,100,40,40,30,255,255,255,255,255,255,235,235,50,0,0.8,1,0,0,0,0,0.84,0.46
