ID,Name,unknown_1,sortGroupId,artsSpeedType,unknown_3a,isRefRightArts,isGrayOutLeftHand,isGrayOutRightHand,isGrayOutBothHand,enableSparringGrounds,swordArtsType,sortId,textId,useMagicPoint_L1,useMagicPoint_L2,useMagicPoint_R1,useMagicPoint_R2,isStartSkill_Duchess,isStartSkill_Wylder,isStartSkill_Executor,isStartSkill_Guardian,isStartSkill_Raider,isStartSkill_Revenant,isStartSkill_Ironeye,isStartSkill_Recluse,defaultWepAttr,iconId,aiUsageId,usabilityTextId,atkParamId,sparringGroundsWeaponId,sparringGroundsEventFlagId,unknown_4a,unknown_4b,unknown_4c,isStartSkill_Scholar,unknown_4e,unknown_4f,unknown_4g,isStartSkill_Undertaker,endPadding,
0,,0,255,0,0,0,0,0,0,0,0,0,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
1,[Standard] No Skill,1,255,0,0,0,1,0,0,0,255,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8367,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
2,,1,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
10,[Standard] No Skill,1,255,1,0,1,1,0,0,0,255,0,10,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,8367,90000000,-1,-1,-1,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
100,[Standard] Lion's Claw,1,10,2,0,1,1,0,0,1,0,30,100,-1,20,-1,-1,0,0,0,0,0,0,0,0,0,8300,11000000,63000,300300820,3000000,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
101,[Standard] Impaling Thrust,1,20,1,0,1,1,0,0,1,1,1010,101,-1,9,-1,-1,0,0,0,0,0,0,0,0,0,8301,11000000,63004,300000010,5020000,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
102,[Standard] Piercing Fang,1,20,1,0,1,1,0,0,1,2,1020,102,-1,16,-1,-1,0,0,0,0,0,0,0,0,0,8302,11000000,63001,300000050,9000000,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
103,[Standard] Spinning Slash,1,20,2,0,1,1,0,0,1,3,1000,103,-1,6,-1,12,0,0,0,0,0,0,0,0,0,8303,12001003,63002,300000220,7000000,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
104,,0,255,1,0,1,1,0,0,0,4,30000,104,-1,8,-1,14,0,0,0,0,0,0,0,0,0,0,12001003,-1,-1,18000000,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
105,[Standard] Charge Forth,1,30,1,0,1,1,0,0,1,5,2010,105,-1,16,-1,-1,0,0,0,0,0,0,0,0,0,8304,11003000,63013,301600900,17060000,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0]
