ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,ReverbType,pad0,BgmBehaviorTypeOnStart,OneShotBgmBehaviorOnStart,PostPlaySeId,PostPlaySeIdForSkip,EnterMapMuteStopTimeOnDrawCutscene,unknown_1,reserved_old,
0,,1,0,[0|0|0],0,[0|0|0],0,0,-1,-1,-1,-1,[0|0|0|0|0|0|0|0]
10,,1,0,[0|0|0],0,[0|0|0],0,0,-1,-1,-1,-1,[0|0|0|0|0|0|0|0]
10000010,,0,0,[0|0|0],3,[0|0|0],2,0,-1,-1,1,-1,[0|0|0|0|0|0|0|0]
10000020,,0,0,[0|0|0],1,[0|0|0],2,0,100000295,100000295,-1,-1,[0|0|0|0|0|0|0|0]
10000030,,0,0,[0|0|0],3,[0|0|0],2,0,-1,-1,1,-1,[0|0|0|0|0|0|0|0]
10000050,,0,0,[0|0|0],3,[0|0|0],2,0,-1,-1,1,-1,[0|0|0|0|0|0|0|0]
10000060,,0,0,[0|0|0],3,[0|0|0],2,0,-1,-1,1,-1,[0|0|0|0|0|0|0|0]
10000100,,1,0,[0|0|0],1,[0|0|0],2,0,999999600,999999600,1,-1,[0|0|0|0|0|0|0|0]
10000110,,0,0,[0|0|0],1,[0|0|0],0,0,-1,-1,1,-1,[0|0|0|0|0|0|0|0]
10000120,,1,0,[0|0|0],1,[0|0|0],2,0,999999600,999999600,1,-1,[0|0|0|0|0|0|0|0]
10000200,,0,0,[0|0|0],1,[0|0|0],2,0,100000295,100000295,-1,-1,[0|0|0|0|0|0|0|0]
11000010,,0,0,[0|0|0],6,[0|0|0],2,0,999999502,999999502,1,-1,[0|0|0|0|0|0|0|0]
11000020,,0,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,-1,[0|0|0|0|0|0|0|0]
11000030,,0,0,[0|0|0],1,[0|0|0],2,0,999999502,999999502,1,-1,[0|0|0|0|0|0|0|0]
11000031,,0,0,[0|0|0],1,[0|0|0],2,0,999999502,999999502,1,-1,[0|0|0|0|0|0|0|0]
11000100,,0,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,-1,[0|0|0|0|0|0|0|0]
12000010,,1,0,[0|0|0],6,[0|0|0],0,0,999999500,999999500,1,-1,[0|0|0|0|0|0|0|0]
12000020,,0,0,[0|0|0],1,[0|0|0],0,0,-1,-1,1,-1,[0|0|0|0|0|0|0|0]
12000030,,0,0,[0|0|0],1,[0|0|0],0,0,-1,-1,1,-1,[0|0|0|0|0|0|0|0]
13000000,,0,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,-1,[0|0|0|0|0|0|0|0]
13100000,,0,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,-1,[0|0|0|0|0|0|0|0]
13100001,,0,0,[0|0|0],1,[0|0|0],2,0,-1,-1,1,-1,[0|0|0|0|0|0|0|0]
16110000,,0,0,[0|0|0],1,[0|0|0],2,0,100000295,100000295,-1,-1,[0|0|0|0|0|0|0|0]
18000000,,0,0,[0|0|0],1,[0|0|0],2,0,999999502,999999502,1,-1,[0|0|0|0|0|0|0|0]
60440010,,0,0,[0|0|0],1,[0|0|0],0,0,999999501,999999501,-1,-1,[0|0|0|0|0|0|0|0]
