ID,Name,SfxId,WindSfxId,GroundHitSfxId,SoundId,WetTime,GparamId,NextLotIngameSecondsMin,NextLotIngameSecondsMax,WetSpEffectId00,WetSpEffectId01,WetSpEffectId02,WetSpEffectId03,WetSpEffectId04,SfxIdInoor,SfxIdOutdoor,aiSightRate,DistViewWeatherGparamOverrideWeight,unknown_1,
0,,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,0
1,,-1,808006,-1,-1,-1,1,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,1
10,,-1,808006,-1,-1,-1,10,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,10
11,,-1,808006,-1,-1,-1,11,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,11
20,,806100,808006,1004010,806100,20,20,3600,7200,4650,4600,-1,-1,-1,-1,-1,1,0.3,20
21,,806100,808006,1004010,806100,20,20,2400,5200,4651,4601,-1,-1,-1,-1,-1,0.9,0.3,20
30,,806130,808004,1004010,806130,20,30,2400,5200,4652,4602,-1,-1,-1,-1,806132,0.8,0.3,30
31,,-1,808007,-1,-1,-1,31,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.05,31
40,,806120,808006,-1,-1,20,40,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,40
41,,806121,808006,-1,-1,20,40,3600,7200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3,40
50,,-1,808006,-1,-1,-1,50,3600,7200,-1,-1,-1,-1,-1,-1,-1,0.9,0.3,50
51,,-1,808006,-1,-1,-1,51,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.8,0.3,51
52,,806100,808006,1004010,806100,20,51,3600,7200,4650,4600,-1,-1,-1,-1,-1,0.8,0.3,51
60,,-1,808004,-1,-1,-1,60,2400,5200,-1,-1,-1,-1,-1,-1,-1,1,-1,60
81,,806127,808006,-1,-1,20,81,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,81
82,,806130,808006,1004010,806120,20,82,3600,7200,-1,-1,-1,-1,-1,-1,806132,1,0.3,82
83,,807200,808006,-1,-1,20,83,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,0.3,83
84,,-1,808006,-1,-1,-1,84,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,84
85,,-1,808006,-1,-1,-1,85,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,85
86,,-1,808006,-1,-1,-1,86,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1,86
