ID,Name,npcParamId,npcThinkId,charaInitParamId,unknown_3,
0,,-1,-1,-1,0
1,,600030000,600030000,30000,100
1,,600030100,600030100,30100,100
1,,600030200,600030200,30200,200
10,,600040000,600040000,90000,100
10,,600040000,600040000,90001,100
20,,600040000,600040000,90001,100
20,,600040000,600040000,90002,100
30,,600040000,600040000,90002,100
30,,600040000,600040000,90003,100
40,,600040000,600040000,90003,100
40,,600040000,600040000,90004,100
50,,600040000,600040000,90004,100
50,,600040000,600040000,90005,100
60,,600040000,600040000,90005,100
60,,600040000,600040000,90006,100
70,,600040000,600040000,90006,100
70,,600040000,600040000,90007,100
80,,600040000,600040000,90007,100
80,,600040000,600040000,90000,100
100,,-1,-1,-1,0
10000,,600040000,600040000,40100,100
10000,,600040000,600040000,40200,100
10000,,600040000,600040000,40300,100
10000,,600040000,600040000,40400,100
10000,,600040000,600040000,40500,100
10000,,600040000,600040000,40600,100
10000,,600040000,600040000,40700,100
10000,,600040000,600040000,40800,100
20000,,600040000,600040000,40101,100
20000,,600040000,600040000,40201,100
20000,,600040000,600040000,40301,100
20000,,600040000,600040000,40401,100
20000,,600040000,600040000,40501,100
20000,,600040000,600040000,40601,100
20000,,600040000,600040000,40701,100
20000,,600040000,600040000,40801,100
30000,,600040000,600040000,40102,100
30000,,600040000,600040000,40202,100
30000,,600040000,600040000,40302,100
30000,,600040000,600040000,40402,100
30000,,600040000,600040000,40502,100
30000,,600040000,600040000,40602,100
30000,,600040000,600040000,40702,100
30000,,600040000,600040000,40802,100
