ID,Name,CaptionTextID,IconID,RequiredPropertyID,CompareType,pad2,FormatType,unknown_1,unknown_2,pad,
0,None,-1,0,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1000,[All] Name,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1001,[All] Description (Short),-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1002,[All] Description (Large),-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1003,[All] Weight,11351,-1,0,2,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1004,[All] Sort ID,-1,-1,0,2,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1005,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1010,[Item] Current no. in slot,-1,31501,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1011,[Item] Max no. in slot,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1012,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1013,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1014,[Item] Max no. per slot,-1,31501,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1015,[Item] Max no. per slot,11410,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1016,[Item] Total carried,-1,31500,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1020,,12000,31020,0,0,0,2,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1021,,12010,31021,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1030,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1031,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1032,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1040,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1050,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1051,,-1,-1,1052,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1052,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1053,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1055,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1056,,-1,-1,1057,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1057,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1058,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1060,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1061,,-1,-1,1062,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1062,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1063,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1065,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1066,,-1,-1,1067,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1067,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
1068,,-1,-1,0,0,0,0,[0|0|0|0],0,[0|0|0|0|0|0|0|0]
