ID,Name,characterId,unknown_1,healthPercentDamage,healthPercentTrigger,damageTakenRate,animationId,dummyPolyId,unknown_2,
0,,10000,0,0,0,1,0,-1,-1
1,,9999,0,20,10,2,0,-1,-1
2,,9999,1,50,10,2,0,-1,-1
100000,[c0000] Player,0,0,10,30,1.1,8700,220,-1
201000,[c2010] Blaidd the Half-Wolf,2010,0,10,30,1.1,8700,220,-1
204000,[c2040] Juvenile Scholar,2040,0,30,30,1.1,8700,220,-1
204100,[c2041] Larva of Rot,2041,0,30,30,1.1,8700,220,-1
210000,[c2100] Black Knife Assassin,2100,0,10,30,1.1,8700,220,-1
213000,[c2130] Fell Omen (Morgott),2130,0,5,20,1.1,8060,220,-1
214000,[c2140] Omen,2140,0,30,30,1.1,8700,220,-1
215000,[c2150] Lightning Ball,2150,0,30,30,1.1,8700,220,-1
227000,[c2270] Giant Crab,2270,0,20,30,1.1,8700,220,-1
227100,[c2271] Crab,2271,0,30,30,1.1,8700,220,-1
227200,[c2272] UNUSED Giant Crab,2272,0,20,30,1.1,8700,220,-1
227300,[c2273] UNUSED Crab,2273,0,30,30,1.1,8700,220,-1
227400,[c2274] UNUSED Giant Crab,2274,0,20,30,1.1,8700,220,-1
227500,[c2275] UNUSED Crab,2275,0,30,30,1.1,8700,220,-1
227600,[c2276] Giant Death Crab,2276,0,20,30,1.1,8700,220,-1
227700,[c2277] UNUSED Crab,2277,0,30,30,1.1,8700,220,-1
250000,[c2500] Crucible Knight,2500,0,10,30,1.1,8700,220,-1
300000,[c3000] Exile Soldier,3000,0,30,30,1.1,8700,220,-1
301000,[c3010] Banished Knight,3010,0,20,30,1.1,8700,220,-1
302000,[c3020] Large Exile Soldier,3020,0,30,30,1.1,8700,220,-1
305000,[c3050] Commander (Niall/O'Neill),3050,0,5,20,1.1,8060,220,-1
306000,[c3060] Giant Skeleton,3060,0,30,30,1.1,8700,220,-1
306100,,3061,0,30,30,1.1,8700,220,-1
307000,,3070,0,30,30,1.1,8700,220,-1
308000,[c3080] Imp,3080,0,30,30,1.1,8700,220,-1
310000,[c3100] Bell Bearing Hunter (Elemer),3100,0,5,20,1.1,8060,220,-1
315000,[c3150] Night's Cavalry,3150,0,10,30,1.1,8700,220,-1
