ID,Name,regionType,category,padding1,dummyPoly1,dummyPoly2,radius,angle,depth,width,height,baseHeightOffset,angleCheckType,padding2,allowAngle,spotDummyPoly,textBoxType,padding3,padding5,isInvalidForRide,isGrayoutForRide,isInvalidForCrouching,isGrayoutForCrouching,padding4,textId,invalidFlag,grayoutFlag,overrideActionButtonIdForRide,execInvalidTime,interactIconOffset_X,interactIconOffset_Y,interactIconOffset_Z,padding6,
0,,0,0,[0|0],1,1,1,1,1,1,1,1,0,[0|0|0],1,-1,0,[0|0],0,0,0,0,0,0,-1,1,1,-1,1,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1,,0,0,[0|0],-1,-1,0,180,0,0,0,0,0,[0|0|0],180,-1,0,[0|0],0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1000,Retrieve lost runes,0,0,[0|0],-1,-1,1.5,180,0,0,1.5,-0.75,0,[0|0|0],180,-1,0,[0|0],0,0,0,0,0,0,50000200,0,0,-1,3,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1010,,0,0,[0|0],-1,-1,1.5,180,0,0,1.5,-0.75,0,[0|0|0],180,-1,0,[0|0],0,0,0,0,0,0,50000205,0,0,-1,3,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1020,Acquire belongings,0,8,[0|0],-1,-1,1,180,0,0,1.5,-0.75,0,[0|0|0],180,-1,0,[0|0],0,0,0,0,0,0,50000100,0,0,-1,3,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1030,Acquire belongings,0,2,[0|0],-1,-1,1,180,0,0,2,-1.25,0,[0|0|0],180,-1,0,[0|0],0,0,0,0,0,0,50000100,0,0,-1,3,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1031,Acquire belongings of <?codenameIcon?>,0,2,[0|0],-1,-1,1,180,0,0,1.5,-0.75,0,[0|0|0],180,-1,0,[0|0],0,0,0,0,0,0,50000101,0,0,-1,3,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1050,,0,2,[0|0],-1,-1,1.5,180,0,0,3,-2.25,0,[0|0|0],180,-1,0,[0|0],0,0,1,0,1,0,1850,0,0,-1,3,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1100,,0,12,[0|0],-1,-1,0,180,0,0,0,0,0,[0|0|0],180,-1,0,[0|0],0,0,1,0,1,0,8100,6001,0,-1,3,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
2000,,0,7,[0|0],-1,-1,1,180,0,0,1.5,-0.75,0,[0|0|0],180,-1,0,[0|0],0,0,0,0,0,0,50000000,0,0,-1,3,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
