ID,Name,unknown_0,guideTextId,unknown_2,unknown_3,unknown_4,unknown_5,unknown_6,unknown_7,
100,Hold <?keyicon@122?>: Descend
<?keyicon@105?>: Disembark,220,335000,1,10,0,0,0,0
101,<?keyicon@105?>: Disembark,220,335001,1,10,0,0,0,0
200,<?keyicon@107?>: Spiritstream jump,-1,335010,0,-1,2.5,0,0,0
201,<?keyicon@107?>: Spiritstream jump,-1,335010,0,0,2,0,0,0
202,<?keyicon@107?>: Spiritstream jump,220,335010,1,10,0,0,0,0
300,Find crest,-1,335030,0,0,2,0,0,0
301,Find crest,-1,335031,0,0,2,0,0,0
302,Find crest,-1,335032,0,0,2,0,0,0
303,Find crest,-1,335033,0,0,2,0,0,0
304,Find crest,-1,335034,0,0,2,0,0,0
305,Find crest,-1,335035,0,0,2,0,0,0
306,Find crest,-1,335036,0,0,2,0,0,0
307,Find crest,-1,335037,0,0,2,0,0,0
308,Find crest,-1,335038,0,0,2,0,0,0
309,Find crest,-1,335039,0,0,2,0,0,0
320,Find crests,-1,335050,0,0,2,0,0,0
400,Smithing table is sealed,-1,335060,0,-0.3,2.6,0,0,0
500,Unable to examine now,-1,335070,0,0,0.3,-0.5,0,0
501,Unable to examine now,-1,335071,0,0,0.3,0.5,0,0
502,Unable to examine now,-1,335072,0,0.5,0.5,0,0,0
503,Unable to examine now,-1,335073,0,0.5,0.7,0,0,0
504,Unable to examine now,-1,335074,0,-0.2,0.3,0.3,0,0
505,Unable to examine now,-1,335075,0,-0.5,0.4,0,0,0
506,Unable to examine now,-1,335076,0,0,1.2,0,0,0
550,,-1,335070,0,0,1.2,0,0,0
560,,-1,335081,0,0,1.2,0,0,0
570,,-1,335081,0,0,2,0,0,0
600,,-1,335080,0,-0.3,2.6,0,0,0
