ID,Name,onHitSpEffect,unknown_1,unknown_2,passiveSpEffectId_1,passiveSpEffectId_2,passiveSpEffectId_3,compatibilityId,attachTextId,isPersistentEffect,isNumericEffect,isStrongestEffect,unknown_8a4,isDebuff,unknown_8c,unknown_8d,displayPercentageSymbol,allowWylder,allowGuardian,allowIroneye,allowDuchess,allowRaider,allowRevenant,allowRecluse,allowExecutor,allowScholar,allowUndertaker,unknown_9c3,unknown_9d,statusIconId,overrideBaseEffectId,displayedModifierValue,overrideEffectId,attachFilterParamId,exclusivityId,permanentSpEffectId,
0,,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-1,-1,0,0,-1,-1,-1
10000,[Special Relic] FP Restoration upon Successive Attacks,-1,-1,-1,7036000,-1,-1,-1,8610100,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,20014,1,0,1,7036000,-1,-1
10001,[Special Relic] Taking attacks improves attack power,-1,-1,-1,7032200,7032201,9762,-1,7032200,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,20206,1,0,1,7032200,-1,-1
10002,[Special Relic] Switching Weapons Boosts Attack Power,-1,-1,-1,7035900,-1,-1,-1,7035900,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,20206,1,0,1,7035900,-1,-1
11000,[Special Relic] +1 additional Character Skill use,-1,-1,-1,7033200,-1,-1,-1,7033200,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20296,1,0,1,7033200,-1,-1
11001,[Special Relic] Flask Also Heals Allies,-1,-1,-1,7010200,-1,-1,-1,7010200,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,20291,1,0,1,7010200,-1,-1
11002,[Special Relic] Art gauge greatly filled when ability is,-1,-1,-1,7032400,9760,-1,-1,7032400,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20297,1,0,1,7032400,-1,-1
12000,[Special Relic] Increased duration for Character Skill,-1,-1,-1,7011000,-1,-1,-1,7011000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20296,1,0,1,7011000,-1,-1
12001,[Special Relic] Art gauge charged from successful guarding,-1,-1,-1,7030600,-1,-1,-1,7030600,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,20297,1,0,1,7030600,-1,-1
12002,[Special Relic] Slowly restores nearby allies' HP,-1,-1,-1,7012000,-1,-1,-1,7012000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20297,1,0,1,7012000,-1,-1
