ID,Name,stageMaxVal0,stageMaxVal1,stageMaxVal2,stageMaxVal3,stageMaxVal4,stageMaxGrowVal0,stageMaxGrowVal1,stageMaxGrowVal2,stageMaxGrowVal3,stageMaxGrowVal4,adjPt_maxGrowVal0,adjPt_maxGrowVal1,adjPt_maxGrowVal2,adjPt_maxGrowVal3,adjPt_maxGrowVal4,init_inclination_soul,adjustment_value,boundry_inclination_soul,boundry_value,pad,
0,Default,0,24,49,74,99,0,96,168,216,240,1,1,1,1,1,0,0,0,0,[0|0|0|0]
1,Heavy,0,99,99,99,99,0,300,300,300,300,1,1,1,1,1,0,0,0,0,[0|0|0|0]
2,Keen,0,99,99,99,99,0,300,300,300,300,1,1,1,1,1,0,0,0,0,[0|0|0|0]
3,,0,99,99,99,99,0,300,300,300,300,1,1,1,1,1,0,0,0,0,[0|0|0|0]
4,Magic / Fire / Lightning / Holy,0,99,99,99,99,0,300,300,300,300,1,1,1,1,1,0,0,0,0,[0|0|0|0]
5,Serpent Bow: Poison - Arcane,0,99,99,99,99,0,300,300,300,300,1,1,1,1,1,0,0,0,0,[0|0|0|0]
6,Status Effects Buildup - Arcane,0,10,99,99,99,0,0,160,160,160,1,1,1,1,1,0,0,0,0,[0|0|0|0]
7,Magic / Fire / Lightning / Holy,0,99,99,99,99,0,300,300,300,300,1,1,1,1,1,0,0,0,0,[0|0|0|0]
8,Quality,0,99,99,99,99,0,300,300,300,300,1,1,1,1,1,0,0,0,0,[0|0|0|0]
9,,0,99,99,99,99,0,300,300,300,300,1,1,1,1,1,0,0,0,0,[0|0|0|0]
10,,0,99,99,99,99,0,300,300,300,300,1,1,1,1,1,0,0,0,0,[0|0|0|0]
11,,0,99,99,99,99,0,300,300,300,300,1,1,1,1,1,0,0,0,0,[0|0|0|0]
12,Catalyst,0,99,99,99,99,0,300,300,300,300,1,1,1,1,1,0,0,0,0,[0|0|0|0]
13,Catalyst,0,99,99,99,99,0,300,300,300,300,1,1,1,1,1,0,0,0,0,[0|0|0|0]
14,Catalyst,0,99,99,99,99,0,300,300,300,300,1,1,1,1,1,0,0,0,0,[0|0|0|0]
15,Catalyst,0,99,99,99,99,0,300,300,300,300,1,1,1,1,1,0,0,0,0,[0|0|0|0]
16,Catalyst,0,99,99,99,99,0,150,150,150,150,1,1,1,1,1,0,0,0,0,[0|0|0|0]
50,,0,0.08,0.16,0.2,0.3,1,0.9,0.6,0.25,0,1,1,1,1,1,0,0,0,0,[0|0|0|0]
51,,0,0.1,0.3,0.5,1,0,0,0.3,0.6,1,1,1,1,1,1,0,0,0,0,[0|0|0|0]
