ID,Name,unknown_0,unknown_1,unknown_2a,unknown_2b,unknown_2c,unknown_2d,unknown_3a,unknown_3b,unknown_3c,unknown_3d,modifier1,modifier2,
10,,0,10,2,6,1,0,0,0,1,1,210,0
20,,0,20,2,1,1,0,0,0,1,1,200,0
1300,,0,1000,0,11,1,0,2,0,1,1,1101,0
1400,,0,1100,0,12,1,0,2,0,1,1,1102,0
1500,,0,1500,0,0,2,2,2,0,2,2,10,9000
1550,,0,1550,0,0,2,1,2,0,2,2,9002,9001
1600,,0,1600,0,0,1,2,2,0,2,2,9000,0
1650,,0,1650,0,0,1,1,2,0,2,2,9001,0
1700,,0,1400,0,10,2,1,2,0,2,2,0,1102
1800,,0,1500,0,10,1,1,2,0,2,2,1102,0
1900,,0,1900,0,1,3,3,2,0,3,3,10,0
1901,,0,1901,0,1,3,1,2,0,2,2,11,0
1902,,0,1902,0,1,2,1,2,0,2,2,12,0
1903,,0,1903,0,1,3,1,2,0,2,2,13,0
1904,,0,1904,0,1,3,2,2,0,3,3,15,0
2000,,0,2000,0,2,4,99,2,0,3,3,10,0
2001,,0,2001,0,2,3,99,2,0,2,2,11,0
2002,,0,2002,0,2,3,99,2,0,2,2,12,0
2003,,0,2003,0,2,3,99,2,0,2,2,13,0
2004,,0,2004,0,2,3,99,2,0,3,3,15,0
10000,,0,10000,1,6,1,0,2,0,1,1,230,0
10100,,0,10100,1,8,1,0,2,0,1,1,1105,0
10101,,0,10101,1,16,1,0,0,0,1,1,1106,0
10200,,0,10200,1,1,3,0,0,0,1,1,0,0
10300,,0,10300,1,4,0,1,0,0,1,1,0,0
10400,,0,10400,1,5,1,1,0,0,1,1,10,0
10401,,0,10401,1,5,0,1,0,0,1,1,11,0
10402,,0,10402,1,5,0,1,0,0,1,1,12,0
10403,,0,10403,1,5,0,1,0,0,1,1,13,0
10404,,0,10404,1,5,0,1,0,0,1,1,15,0
10500,,0,10500,1,0,1,2,2,0,3,3,10,0
10501,,0,10501,1,0,1,1,2,0,2,2,11,0
10502,,0,10502,1,0,1,1,2,0,2,2,12,0
10503,,0,10503,1,0,1,1,2,0,2,2,13,0
10504,,0,10504,1,0,1,1,2,0,2,2,15,0
10600,,0,10600,1,3,2,99,2,0,2,2,10,0
10601,,0,10601,1,3,2,99,2,0,2,2,11,0
10602,,0,10602,1,3,2,99,2,0,2,2,12,0
10603,,0,10603,1,3,1,99,2,0,2,2,13,0
10604,,0,10604,1,3,1,99,2,0,2,2,15,0
20000,,0,20000,0,3,1,0,0,0,1,1,0,15
20010,,0,20010,0,5,1,0,0,0,1,1,0,15
20020,,0,20020,0,13,1,0,2,0,1,1,0,15
20100,,0,20100,0,4,6,0,0,0,1,1,13,0
20200,,0,20200,0,6,4,0,0,0,1,1,10,0
20201,,0,20201,0,6,3,0,0,0,1,1,11,0
20202,,0,20202,0,6,3,0,0,0,1,1,12,0
20203,,0,20203,0,6,2,0,0,0,1,1,13,0
20205,,0,20205,0,6,3,0,0,0,1,1,15,0
20300,,0,20300,0,14,6,0,0,0,1,1,10,0
20301,,0,20301,0,14,3,0,0,0,1,1,11,0
20302,,0,20302,0,14,3,0,0,0,1,1,12,0
20303,,0,20303,0,14,6,0,0,0,1,1,13,0
20305,,0,20305,0,14,5,0,0,0,1,1,15,0
20400,,0,20400,0,7,48,0,0,0,1,1,1150,0
