ID,Name,textId_1,iconId,textId_2,unknown_3a,unknown_3b,unknown_3c,unknown_3d,unknown_4a,unknown_4b,unknown_4c,unknown_4d,unknown_5a,unknown_5b,unknown_5c,unknown_5d,seId_1,seId_2,
1000,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,1,0,0,0,0,0,300,-1
1010,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,2,0,0,0,0,0,310,-1
1020,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,3,0,0,0,0,0,320,-1
1030,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,4,0,0,0,0,0,320,-1
1040,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,10,0,0,0,0,0,340,-1
1100,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,1,0,0,0,0,0,-1,-1
1110,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,2,0,0,0,0,0,-1,-1
1120,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,3,0,0,0,0,0,-1,-1
1130,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,4,0,0,0,0,0,-1,-1
1140,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,10,0,0,0,0,0,-1,-1
1147,Insufficient runes,337870,-1,-1,255,255,255,255,0,0,0,0,0,0,0,0,600,-1
1148,Out of stock,337871,-1,-1,255,255,255,255,0,0,0,0,0,0,0,0,600,-1
1149,Item slots already at maximum,337872,-1,-1,255,255,255,255,0,0,0,0,0,0,0,0,600,-1
1150,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,1,0,0,0,0,0,-1,-1
1160,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,2,0,0,0,0,0,-1,-1
1170,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,3,0,0,0,0,0,-1,-1
1180,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,4,0,0,0,0,0,-1,-1
1190,<?text1?> x<?text2?>,337800,-1,-1,255,255,255,255,0,0,10,0,0,0,0,0,-1,-1
1210,,-1,-1,-1,255,255,255,255,0,0,2,0,0,1,0,0,-1,-1
1220,Acquired <?text1?>,-1,-1,146708,255,255,255,255,0,0,3,0,2,1,0,0,-1,-1
1230,Acquired <?text1?>,-1,-1,146708,255,255,255,255,0,0,4,0,2,1,0,0,-1,-1
1240,Acquired <?text1?>,-1,-1,146708,255,255,255,255,0,0,10,0,2,1,0,0,-1,-1
1300,Replicated armament,337810,-1,146706,255,255,255,255,0,0,1,0,1,1,0,0,-1,-1
