ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,itemId,msgAnimId,cannotUseRiding,pad2,pad1,
0,Bow,1,0,[0|0|0],9000,80000,1,0,[0|0|0]
1,Polite Bow,0,0,[0|0|0],9001,80010,1,1,[0|0|0]
2,My Thanks,1,0,[0|0|0],9002,80020,1,0,[0|0|0]
3,Curtsy,0,0,[0|0|0],9003,80030,1,1,[0|0|0]
4,Reverential Bow,0,0,[0|0|0],9004,80040,1,1,[0|0|0]
5,My Lord,0,0,[0|0|0],9005,80050,1,1,[0|0|0]
6,Warm Welcome,0,0,[0|0|0],9006,80060,1,1,[0|0|0]
7,Wave,1,0,[0|0|0],9007,80070,1,0,[0|0|0]
8,Casual Greeting,1,0,[0|0|0],9008,80080,1,0,[0|0|0]
9,Strength!,0,0,[0|0|0],9009,80090,1,1,[0|0|0]
10,As You Wish,0,0,[0|0|0],9010,80100,1,1,[0|0|0]
20,Point Forwards,1,0,[0|0|0],9011,80200,1,0,[0|0|0]
21,Point Upwards,1,0,[0|0|0],9012,80210,1,0,[0|0|0]
22,Point Downwards,1,0,[0|0|0],9013,80220,1,0,[0|0|0]
23,Beckon,1,0,[0|0|0],9014,80230,1,0,[0|0|0]
24,Wait!,1,0,[0|0|0],9015,80240,1,0,[0|0|0]
25,Calm Down!,0,0,[0|0|0],9016,80250,1,1,[0|0|0]
30,Nod In Thought,1,0,[0|0|0],9017,80300,1,0,[0|0|0]
40,Extreme Repentance,0,0,[0|0|0],9018,80400,1,1,[0|0|0]
41,Grovel For Mercy,0,0,[0|0|0],9019,80410,1,1,[0|0|0]
50,Rallying Cry,1,0,[0|0|0],9020,80500,1,0,[0|0|0]
51,Heartening Cry,0,0,[0|0|0],9021,80510,1,1,[0|0|0]
52,By My Sword,1,0,[0|0|0],9022,80520,1,0,[0|0|0]
53,Hoslow's Oath,0,0,[0|0|0],9023,80530,1,1,[0|0|0]
54,Fire Spur Me,0,0,[0|0|0],9024,80540,1,1,[0|0|0]
60,Bravo!,1,0,[0|0|0],9026,80600,1,0,[0|0|0]
70,Jump for Joy,1,0,[0|0|0],9027,80700,1,0,[0|0|0]
71,Triumphant Delight,1,0,[0|0|0],9028,80710,1,0,[0|0|0]
72,Fancy Spin,0,0,[0|0|0],9029,80720,1,1,[0|0|0]
73,Finger Snap,0,0,[0|0|0],9030,80730,1,1,[0|0|0]
80,Dejection,0,0,[0|0|0],9031,80800,1,1,[0|0|0]
90,Patches' Crouch,0,0,[0|0|0],9032,80900,1,1,[0|0|0]
91,Crossed Legs,0,0,[0|0|0],9033,80910,1,1,[0|0|0]
92,Rest,0,0,[0|0|0],9034,80920,1,1,[0|0|0]
93,Sitting Sideways,0,0,[0|0|0],9035,80930,1,1,[0|0|0]
94,Dozing Cross-Legged,0,0,[0|0|0],9036,80940,1,1,[0|0|0]
95,Spread Out,0,0,[0|0|0],9037,80950,1,1,[0|0|0]
97,Balled Up,0,0,[0|0|0],9039,80970,1,1,[0|0|0]
98,What Do You Want?,0,0,[0|0|0],9040,80980,1,1,[0|0|0]
100,Prayer,0,0,[0|0|0],9041,81000,1,1,[0|0|0]
101,Desperate Prayer,0,0,[0|0|0],9042,81010,1,1,[0|0|0]
102,Rapture,0,0,[0|0|0],9043,81020,1,1,[0|0|0]
103,Erudition,0,0,[0|0|0],9045,81030,1,1,[0|0|0]
104,Outer Order,0,0,[0|0|0],9046,81040,1,1,[0|0|0]
105,Inner Order,0,0,[0|0|0],9047,81050,1,1,[0|0|0]
106,Golden Order Totality,0,0,[0|0|0],9048,81060,1,1,[0|0|0]
130,Prattling Pate "Hello",0,0,[0|0|0],9060,81300,1,1,[0|0|0]
131,Prattling Pate "Thank you",0,0,[0|0|0],9061,81310,1,1,[0|0|0]
132,Prattling Pate "Apologies",0,0,[0|0|0],9062,81320,1,1,[0|0|0]
133,Prattling Pate "Wonderful",0,0,[0|0|0],9063,81330,1,1,[0|0|0]
134,Prattling Pate "Please help",0,0,[0|0|0],9064,81340,1,1,[0|0|0]
135,Prattling Pate "My beloved",0,0,[0|0|0],9065,81350,1,1,[0|0|0]
136,Prattling Pate "Let's get to it",0,0,[0|0|0],9066,81360,1,1,[0|0|0]
137,Prattling Pate "You're beautiful",0,0,[0|0|0],9067,81370,1,1,[0|0|0]
140,It's Raining!,0,0,[0|0|0],9070,81400,1,1,[0|0|0]
141,It's Raining!,0,0,[0|0|0],9070,81400,1,1,[0|0|0]
