ID,Name,a000_leftArmFB,a000_leftArmIO,a000_leftWristFB,a000_leftWristIO,a000_leftWeaponRotation,a002_leftArmFB,a002_leftArmIO,a002_leftWristFB,a002_leftWristIO,a002_leftWeaponRotation,a003_leftArmFB,a003_leftArmIO,a003_leftWristFB,a003_leftWristIO,a003_leftWeaponRotation,pad_old,
0,Default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0]
1,Scythe,-10,0,25,5,0,-10,0,25,5,0,-10,0,25,5,0,[0|0]
2,Staff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0]
3,Greatshield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0]
4,Torch,-5,0,15,10,0,-5,0,15,10,0,-5,0,15,10,0,[0|0]
5,Sword,5,0,-25,15,0,5,0,-25,15,0,5,0,-25,15,0,[0|0]
6,Fist,-10,0,40,-20,0,-10,0,40,-20,0,-10,0,40,-20,0,[0|0]
7,Large Weapon,-10,0,15,5,0,-10,0,15,5,0,-10,0,15,5,0,[0|0]
8,Hammer/Axe,-10,0,20,10,0,-10,0,20,10,0,-10,0,20,10,0,[0|0]
9,Twinblade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0]
10,Small Shield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0]
11,Medium Shield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0]
12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0]
100,[Wylder] Default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0]
101,[Wylder] Scythe,-10,0,25,5,0,-10,0,25,5,0,-10,0,25,5,0,[0|0]
102,[Wylder] Staff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0]
103,[Wylder] Greatshield,0,3,0,-10,-8,0,0,0,0,0,0,0,0,0,0,[0|0]
104,[Wylder] Torch,-5,0,15,10,0,-5,0,15,10,0,-5,0,15,10,0,[0|0]
105,[Wylder] Sword,5,0,-25,15,0,5,0,-25,15,0,5,0,-25,15,0,[0|0]
106,[Wylder] Fist,-10,0,40,-20,0,-10,0,40,-20,0,-10,0,40,-20,0,[0|0]
107,[Wylder] Large Weapon,-10,0,15,5,0,-10,0,15,5,0,-10,0,15,5,0,[0|0]
108,[Wylder] Hammer/Axe,-10,0,20,10,0,-10,0,20,10,0,-10,0,20,10,0,[0|0]
109,[Wylder] Twinblade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0]
110,[Wylder] Small Shield,0,0,0,-25,-20,0,0,0,-25,-20,0,0,0,-25,-20,[0|0]
111,[Wylder] Medium Shield,0,0,0,-10,-10,0,3,0,-10,-10,0,3,0,-10,-10,[0|0]
200,[Guardian] Default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0]
201,[Guardian] Scythe,-10,0,25,5,0,-10,0,25,5,0,-10,0,25,5,0,[0|0]
202,[Guardian] Staff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0]
203,[Guardian] Greatshield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0]
204,[Guardian] Torch,-5,0,15,10,0,-5,0,15,10,0,-5,0,15,10,0,[0|0]
205,[Guardian] Sword,5,0,-25,15,0,5,0,-25,15,0,5,0,-25,15,0,[0|0]
206,[Guardian] Fist,-10,0,40,-20,0,-10,0,40,-20,0,-10,0,40,-20,0,[0|0]
207,[Guardian] Large Weapon,-10,0,15,5,0,-10,0,15,5,0,-10,0,15,5,0,[0|0]
208,[Guardian] Hammer/Axe,-10,0,20,10,0,-10,0,20,10,0,-10,0,20,10,0,[0|0]
209,[Guardian] Twinblade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0]
210,[Guardian] Small Shield,-10,3,25,0,-20,-10,3,25,0,-20,-10,3,25,0,-20,[0|0]
211,[Guardian] Medium Shield,-5,4,20,-10,0,-5,4,20,-10,0,-5,4,20,-10,0,[0|0]
