ID,Name,unknown_0,patternId,unknown_2,mapId1,mapId2,mapId3,mapId4,unknown_5a,unknown_5b,unknown_5c,unknown_5d,
0,Blank,1,0,1,-1,-1,-1,-1,0,0,0,0
20601,Evergaol,0,20601,100,4650,4660,4670,0,1,1,1,0
20602,Evergaol,0,20602,100,4650,4660,4670,0,1,2,1,0
20603,Evergaol,0,20603,100,4650,4660,4670,0,1,2,2,0
20604,Evergaol,0,20604,100,4650,4660,4670,0,2,2,2,0
20605,Evergaol,0,20605,100,4650,4660,4670,0,2,3,2,0
120601,,0,20601,100,4650,4660,4670,0,1,1,1,0
120602,,0,20602,100,4650,4660,4670,0,1,2,1,0
120603,,0,20603,100,4650,4660,4670,0,1,2,2,0
120604,,0,20604,100,4650,4660,4670,0,2,2,2,0
120605,,0,20605,100,4650,4660,4670,0,2,3,2,0
