ID,Name,unknown_0,iconId,iconId_2,arrivalEventFlag,showMapIconEventFlag,hideMapIconEventFlag,
0,,0,0,0,0,0,0
1,Wylder,1,151,0,10002201,10002251,10002301
2,Guardian,1,152,0,10002202,10002252,10002302
3,Ironeye,0,153,0,10002203,10002253,10002303
4,Duchess / Priestess,1,154,161,10002204,10002254,10002304
5,Raider,0,155,0,10002205,10002255,10002305
6,Revenant,0,156,0,10002206,10002256,10002306
7,Recluse,1,157,0,10002207,10002257,10002307
8,Executor,0,158,0,10002208,10002258,10002308
9,,0,0,0,10002209,10002259,10002309
10,Iron Menial,0,160,0,10002210,10002260,10002310
11,Witch of the Wheel,0,182,0,10002211,10002261,10002311
12,Wandering Merchant,0,180,0,10002212,10002262,10002312
13,Traitor,0,181,0,10002213,10002263,10002313
14,,0,0,0,10002214,10002264,10002314
15,Iron Menial (Remembrance?),0,0,160,10002215,10002265,10002315
16,,0,0,0,10002216,10002266,10002316
17,,0,0,0,10002217,10002267,10002317
18,,0,0,0,10002218,10002268,10002318
19,,0,0,0,10002219,10002269,10002319
20,,0,0,0,10002220,10002270,10002320
21,,0,0,0,10002221,10002271,10002321
22,,0,0,0,10002222,10002272,10002322
23,,0,0,0,10002223,10002273,10002323
24,,0,0,0,10002224,10002274,10002324
25,,0,0,0,10002225,10002275,10002325
26,,0,0,0,10002226,10002276,10002326
27,,0,0,0,10002227,10002277,10002327
28,,0,0,0,10002228,10002278,10002328
29,,0,0,0,10002229,10002279,10002329
30,,0,0,0,10002230,10002280,10002330
31,,0,0,0,10002231,10002281,10002331
32,,0,0,0,10002232,10002282,10002332
33,Revenant (Rememembrance?),0,156,0,10002233,10002283,10002333
34,Conclude Remembrance,0,190,0,10002234,10002284,10002334
35,Conclude Remembrance,0,190,0,10002235,10002285,10002335
36,Iron Menial (Remembrance?),0,160,0,10002236,10002286,10002336
51,Scholar,0,162,0,10002237,10002287,10002337
52,Undertaker,0,163,0,10002238,10002288,10002338
