ID,Name,unknown_0,npcParamId,npcThinkId,charaInitParamId,unknown_4,
0,Blank,1,0,0,0,0
100,Night Assassin (Wylder),0,600030010,600030000,30000,100
200,Night Fallen (Guardian),0,600030110,600030100,30100,100
300,Night Hunter (Hunter),0,600030210,600030200,30200,100
400,Night Thief (Duchess),0,600030310,600030300,30300,100
500,Night Raider (Raider),0,600030410,600030400,30400,100
600,Night Idol (Revenant),0,600030510,600030500,30500,0
700,Night Witch (Recluse),0,600030610,600030600,30600,100
800,Night Executor (Executor),0,600030710,600030700,30700,100
1000,Night Deceiver (Scholar),1,600030810,600030800,30800,100
1100,Night Profaner (Undertaker),1,600030910,600030900,30900,100
