ID,Name,addPoint1,addPoint2,addPoint3,addPoint4,addPoint5,addRate1,addRate2,addRate3,addRate4,addRate5,
0,Default,0,0,0,0,0,1,1,1,1,1
100,[NPC] All Statuses,0,0,0,0,0,1.3,1.77,2.44,4,8.6
1000,[Poison] Tier 1 (63 base),21,49,91,189,479,1,1,1,1,1
1001,[Poison] Tier 2 (84 base),28,70,168,458,915,1,1,1,1,1
1002,[Poison] Tier 3 (112 base),42,140,430,887,887,1,1,1,1,1
1003,[Poison] Tier 4 (154 base),98,388,845,845,845,1,1,1,1,1
1004,[Poison] Tier 5 (252 base),290,747,747,747,747,1,1,1,1,1
1005,[Poison] Tier 6 (542 base),457,457,457,457,457,1,1,1,1,1
1010,[Poison] Tier 0 (20 Base),64,92,134,232,522,1,1,1,1,1
2000,[Scarlet Rot] Tier 1 (63 base),21,49,91,189,479,1,1,1,1,1
2001,[Scarlet Rot] Tier 2 (84 base),28,70,168,458,915,1,1,1,1,1
2002,[Scarlet Rot] Tier 3 (112 base),42,140,430,887,887,1,1,1,1,1
2003,[Scarlet Rot] Tier 4 (154 base),98,388,845,845,845,1,1,1,1,1
2004,[Scarlet Rot] Tier 5 (252 base),290,747,747,747,747,1,1,1,1,1
2005,[Scarlet Rot] Tier 6 (542 base),457,457,457,457,457,1,1,1,1,1
2010,[Scarlet Rot] Tier 0 (20 Base),64,92,134,232,522,1,1,1,1,1
3000,[Blood Loss] Tier 1 (63 base),21,49,91,189,479,1,1,1,1,1
3001,[Blood Loss] Tier 2 (84 base),28,70,168,458,915,1,1,1,1,1
3002,[Blood Loss] Tier 3 (112 base),42,140,430,887,887,1,1,1,1,1
3003,[Blood Loss] Tier 4 (154 base),98,388,845,845,845,1,1,1,1,1
3004,[Blood Loss] Tier 5 (252 base),290,747,747,747,747,1,1,1,1,1
3005,[Blood Loss] Tier 6 (542 base),457,457,457,457,457,1,1,1,1,1
3010,[Blood Loss] Tier 0 (20 Base),64,92,134,232,522,1,1,1,1,1
4000,[Death Blight] Tier 1 (63 base),21,49,91,189,479,1,1,1,1,1
4001,[Death Blight] Tier 2 (84 base),28,70,168,458,915,1,1,1,1,1
4002,[Death Blight] Tier 3 (112 base),42,140,430,887,887,1,1,1,1,1
4003,[Death Blight] Tier 4 (154 base),98,388,845,845,845,1,1,1,1,1
4004,[Death Blight] Tier 5 (252 base),290,747,747,747,747,1,1,1,1,1
4005,[Death Blight] Tier 6 (542 base),457,457,457,457,457,1,1,1,1,1
4010,[Death Blight] Tier 0 (20 Base),64,92,134,232,522,1,1,1,1,1
5000,[Frostbite] Tier 1 (63 base),21,49,91,189,479,1,1,1,1,1
5001,[Frostbite] Tier 2 (84 base),28,70,168,458,915,1,1,1,1,1
5002,[Frostbite] Tier 3 (112 base),42,140,430,887,887,1,1,1,1,1
5003,[Frostbite] Tier 4 (154 base),98,388,845,845,845,1,1,1,1,1
5004,[Frostbite] Tier 5 (252 base),290,747,747,747,747,1,1,1,1,1
5005,[Frostbite] Tier 6 (542 base),457,457,457,457,457,1,1,1,1,1
5010,[Frostbite] Tier 0 (20 Base),64,92,134,232,522,1,1,1,1,1
6000,[Sleep] Tier 1 (63 base),21,49,91,189,479,1,1,1,1,1
6001,[Sleep] Tier 2 (84 base),28,70,168,458,915,1,1,1,1,1
6002,[Sleep] Tier 3 (112 base),42,140,430,887,887,1,1,1,1,1
6003,[Sleep] Tier 4 (154 base),98,388,845,845,845,1,1,1,1,1
6004,[Sleep] Tier 5 (252 base),290,747,747,747,747,1,1,1,1,1
6005,[Sleep] Tier 6 (542 base),457,457,457,457,457,1,1,1,1,1
6010,[Sleep] Tier 0 (20 Base),64,92,134,232,522,1,1,1,1,1
7000,[Madness] Tier 1 (63 base),21,49,91,189,479,1,1,1,1,1
7001,[Madness] Tier 2 (84 base),28,70,168,458,915,1,1,1,1,1
7002,[Madness] Tier 3 (112 base),42,140,430,887,887,1,1,1,1,1
7003,[Madness] Tier 4 (154 base),98,388,845,845,845,1,1,1,1,1
7004,[Madness] Tier 5 (252 base),290,747,747,747,747,1,1,1,1,1
7005,[Madness] Tier 6 (542 base),457,457,457,457,457,1,1,1,1,1
7010,[Madness] Tier 0 (20 Base),64,92,134,232,522,1,1,1,1,1
