ID,Name,unknown_0,swordArtsId,chanceWeight,
0,(0% weight),1,-1,0
1,[Standard] No Skill,1,1,100
2,,1,-1,0
10,[Standard] No Skill,1,10,100
100,[Standard] Lion's Claw,1,100,100
101,[Standard] Impaling Thrust,1,101,100
102,[Standard] Piercing Fang,1,102,100
103,[Standard] Spinning Slash,1,103,100
105,[Standard] Charge Forth,1,105,100
106,[Standard] Stamp (Upward Cut),1,106,100
107,[Standard] Stamp (Sweep),1,107,100
108,[Blood] Blood Tax,1,108,100
109,[Standard] Repeating Thrust,1,109,100
110,[Standard] Wild Strikes,1,110,100
111,[Standard] Spinning Strikes,1,111,100
112,[Standard] Double Slash,1,112,100
113,[Fire] Prelate's Charge,1,113,100
114,[Standard] Unsheathe,1,114,100
115,[Standard] Square Off,1,115,100
116,[Standard] Giant Hunt,1,116,100
117,[Standard] Torch Attack,1,117,100
118,[Magic] Loretta's Slash,1,118,100
119,[Poison] Poison Moth Flight,1,119,100
120,[Magic] Spinning Weapon,1,120,100
122,[Standard] Storm Assault,1,122,100
123,[Standard] Stormcaller,1,123,100
124,[Standard] Sword Dance,1,124,100
125,[Standard] Spinning Chain,1,125,100
200,[Magic] Glintblade Phalanx,1,200,100
201,[Holy] Sacred Blade,1,201,100
202,[Frost] Ice Spear,1,202,100
203,[Magic] Glintstone Pebble,1,203,100
204,[Blood] Bloody Slash,1,204,100
205,[Blood] Lifesteal Fist,1,205,100
207,[Fire] Eruption,1,207,100
208,[Holy] Prayerful Strike,1,208,100
209,[Magic] Gravitas,1,209,100
210,[Standard] Storm Blade,1,210,100
212,[Standard] Earthshaker,1,212,100
213,[Holy] Golden Land,1,213,100
214,[Fire] Flaming Strike,1,214,100
216,[Lightning] Thunderbolt,1,216,100
217,[Lightning] Lightning Slash,1,217,100
218,[Magic] Carian Grandeur,1,218,100
219,[Magic] Carian Greatsword,1,219,100
220,[Standard] Vacuum Slice,1,220,100
221,[Fire] Black Flame Tornado,1,221,100
222,[Holy] Sacred Ring of Light,1,222,100
223,[Specific] Firebreather,1,223,100
224,[Blood] Blood Blade,1,224,100
225,[Standard] Phantom Slash,1,225,100
226,[Standard] Spectral Lance,1,226,100
227,[Frost] Chilling Mist,1,227,100
228,[Poison] Poisonous Mist,1,228,100
300,[Standard] Shield Bash,1,300,100
301,[Standard] Barricade Shield,1,301,100
302,[Standard] Parry,1,302,100
303,[Standard] Buckler Parry,1,303,100
305,[Magic] Carian Retaliation,1,305,100
306,[Standard] Storm Wall,1,306,100
307,[Holy] Golden Parry,1,307,100
308,[Standard] Shield Crash,1,308,100
309,[Magic] Thops's Barrier,1,309,100
400,[Standard] Through and Through,1,400,100
401,[Standard] Barrage,1,401,100
402,[Standard] Mighty Shot,1,402,100
404,[Standard] Enchanted Shot,1,404,100
405,[Standard] Sky Shot,1,405,100
406,[Standard] Rain of Arrows,1,406,100
501,[Frost] Hoarfrost Stomp,1,501,100
502,[Standard] Storm Stomp,1,502,100
503,[Standard] Kick,1,503,100
504,[Lightning] Lightning Ram,1,504,100
