ID,Name,lodRange,lod0ClusterType,lod1ClusterType,lod2ClusterType,pad0,distributionType,baseDensity,model0Name,flatTextureName,billboardTextureName,normalInfluence,inclinationMax,inclinationJitter,scaleBaseMin,scaleBaseMax,scaleHeightMin,scaleHeightMax,colorShade1_r,colorShade1_g,colorShade1_b,colorShade2_r,colorShade2_g,colorShade2_b,flatSplitType,flatBladeCount,flatSlant,flatRadius,castShadow,windAmplitude,pad1,windCycle,orientationAngle,orientationRange,spacing,dithering,pad,simpleModelName,model1Name,
5003,,210,1,5,5,[0|0],0,2.5,AEG001_265,AET005_004_a,AET005_004_a,90,30,0,90,110,55,120,180,180,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_265,AEG001_266
5004,,211,1,5,5,[0|0],0,2,AEG001_267,AET005_004_a,AET005_004_a,90,30,0,60,110,20,105,180,180,100,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG001_269,AEG001_268
5800,,209,1,5,5,[0|0],0,2.5,AEG009_030,AET005_004_a,AET005_004_a,90,30,0,100,130,50,130,255,180,180,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG009_031,AEG009_031
5801,,211,1,5,5,[0|0],0,1.5,AEG009_032,AET005_004_a,AET005_004_a,90,30,0,60,110,20,105,220,250,200,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],AEG009_031,AEG009_031
5990,,110,1,1,0,[0|0],0,1,AEG580_251,,,100,15,0,85,140,80,140,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
5991,,110,1,1,0,[0|0],0,1,AEG580_253,,,100,15,0,85,140,80,140,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
5992,,110,1,1,1,[0|0],0,1,AEG580_805,,,100,10,0,80,130,100,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
5993,,110,1,1,1,[0|0],0,0.4,AEG580_806,,,100,10,0,80,130,100,100,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
5994,,110,1,1,1,[0|0],0,0.7,AEG580_302,,,100,10,0,80,120,80,150,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
6000,,210,1,5,5,[0|0],0,2.5,AEG398_002,AET005_004_a,AET005_004_a,90,30,0,90,110,55,120,180,180,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,AEG398_003
6001,,210,1,5,5,[0|0],0,2.5,AEG398_007,AET005_004_a,AET005_004_a,90,30,0,60,110,75,120,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,AEG398_008
6300,,110,1,1,1,[0|0],0,0.4,AEG370_204,,,100,10,0,40,120,40,120,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,
6301,,110,1,1,1,[0|0],0,1,AEG370_210,,,100,10,0,40,120,40,120,255,255,255,255,255,255,0,2,0,0,0,80,0,40,-1,-1,0,0,[0|0|0],,AEG370_211
