ID,Name,mapId,TransitionSrcWeather,padding0,isFireAsh,padding1,reserved2,AssetId0,AssetId1,AssetId2,AssetId3,AssetId4,AssetId5,AssetId6,AssetId7,reserved0,CreateAssetLimitId0,CreateAssetLimitId1,CreateAssetLimitId2,CreateAssetLimitId3,reserved1,
1000100,,10000099,0,[0|0],0,[0|0|0],0,596403,-1,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,0,0,0,[0|0|0|0]
1000101,,10000099,1,[0|0],0,[0|0|0],0,596403,-1,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,0,0,0,[0|0|0|0]
1000199,,10000099,99,[0|0],0,[0|0|0],0,96101,-1,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,0,0,0,[0|0|0|0]
1100000,,11000099,0,[0|0],0,[0|0|0],0,-1,-1,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,0,0,0,[0|0|0|0]
1100350,,11000099,87,[0|0],0,[0|0|0],0,-1,-1,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,0,0,0,[0|0|0|0]
1100351,,11000099,88,[0|0],0,[0|0|0],0,-1,-1,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,0,0,0,[0|0|0|0]
1100352,,11000099,11,[0|0],0,[0|0|0],0,-1,-1,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,0,0,0,[0|0|0|0]
1100353,,11000099,20,[0|0],0,[0|0|0],0,-1,-1,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,0,0,0,[0|0|0|0]
1100354,,11000099,1,[0|0],0,[0|0|0],0,-1,-1,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,0,0,0,[0|0|0|0]
1100355,,11000099,10,[0|0],0,[0|0|0],0,-1,-1,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,0,0,0,[0|0|0|0]
1100356,,11000099,30,[0|0],0,[0|0|0],0,-1,-1,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,0,0,0,[0|0|0|0]
1100357,,11000099,40,[0|0],0,[0|0|0],0,-1,-1,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0],-1,0,0,0,[0|0|0|0]
