ID,Name,AtkChrId,DefChrId,Dist,DiffAngMin,DiffAngMax,upperYRange,lowerYRange,diffAngMyToDef,throwTypeId,atkAnimId,defAnimId,escHp,selfEscCycleTime,sphereCastRadiusRateTop,sphereCastRadiusRateLow,PadType,AtkEnableState,throwFollowingType,pad2,throwType,selfEscCycleCnt,dmyHasChrDirType,isTurnAtker,isSkipWepCate,isSkipSphereCast,isEnableCorrectPos_forThrowAdjust,isEnableThrowFollowingFallAssist,isEnableThrowFollowingFeedback,pad0,atkSorbDmyId,defSorbDmyId,Dist_start,DiffAngMin_start,DiffAngMax_start,upperYRange_start,lowerYRange_start,diffAngMyToDef_start,judgeRangeBasePosDmyId1,judgeRangeBasePosDmyId2,adsrobModelPosInterpolationTime,throwFollowingEndEasingTime,pad1,
0,,0,0,0,0,0,0.2,0.2,60,0,0,0,0,0,80,80,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0.5,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10,[Inescapable Frenzy] Player (Right Hand) -> Player,0,0,1.5,-180,180,0.5,0.65,60,10,45080,70630,0,0,70,70,1,0,0,0,0,0,0,0,1,0,1,0,0,0,231,0,0,0,0,0,0,0,-1,-1,0,0.5,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
11,[Inescapable Frenzy] Player (Left Hand) -> Player,0,0,1.5,-180,180,0.5,0.65,60,11,45180,70630,0,0,70,70,1,0,0,0,0,0,0,0,1,0,1,0,0,0,231,0,0,0,0,0,0,0,-1,-1,0,0.5,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20,[Lifesteal Fist] Player -> Player,0,0,2,-180,180,0.65,0.65,60,20,40090,70010,0,0,70,70,1,0,1,0,0,0,0,0,1,0,1,0,0,0,238,0,1.5,0,0,0.65,0.65,0,-1,-1,0,0.5,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10000000,[Backstab] Player -> Player,0,0,1.8,-120,120,0.5,0.65,120,0,31710,70000,0,0,70,70,1,0,1,0,1,0,0,0,0,0,1,0,1,0,230,0,1.5,-35,35,0.4,0.55,70,-1,-1,0,0.5,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10001000,[Riposte] Player -> Player,0,0,6,-180,180,0.5,0.65,60,30,31700,70010,0,0,70,70,0,0,1,0,70,0,0,0,1,0,1,0,1,0,231,0,6,0,0,0,0,0,-1,-1,0,0.5,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10201020,[Lifesteal Fist] Player -> Blaidd,0,2010,2,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,1,0,0,0,0,1,1,0,1,0,1,0,238,0,1.5,0,0,0.65,0.65,0,-1,-1,0,0.5,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10210020,[Lifesteal Fist] Player -> Black Knife Assassin,0,2100,2,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,1,0,0,0,0,1,1,0,1,0,1,0,238,0,1.5,0,0,0.65,0.65,0,-1,-1,0,0.5,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10250020,[Lifesteal Fist] Player -> Crucible Knight,0,2500,2,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,1,0,0,0,0,1,1,0,1,0,1,0,238,0,1.5,0,0,0.65,0.65,0,-1,-1,0,0.5,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10300020,[Lifesteal Fist] Player -> Exile Soldier,0,3000,2,-180,180,0.65,0.65,60,20,40090,11010,0,0,80,80,1,0,1,0,0,0,0,1,1,0,1,0,1,0,238,0,1.5,0,0,0.65,0.65,0,-1,-1,0,0.5,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
