ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,logicId,battleGoalID,searchEye_dist,searchEye_angY,isNoAvoidHugeEnemy,enableWeaponOnOff,targetAILockDmyPoly,pad8,spEffectId_RangedAttack,searchTargetLv1ForgetTime,searchTargetLv2ForgetTime,BackHomeLife_OnHitEneWal,SightTargetForgetTime,idAttackCannotMove,ear_dist,callHelp_ActionAnimId,callHelp_CallActionId,eye_dist,isGuard_Act,pad6,ear_soundcut_dist,nose_dist,maxBackhomeDist,backhomeDist,backhomeBattleDist,nonBattleActLife,BackHome_LookTargetTime,BackHome_LookTargetDist,SoundTargetForgetTime,BattleStartDist,callHelp_MyPeerId,callHelp_CallPeerId,targetSys_DmgEffectRate,TeamAttackEffectivity,eye_angX,eye_angY,disableDark,caravanRole,callHelp_CallValidMinDistTarget,callHelp_CallValidRange,callHelp_ForgetTimeByArrival,callHelp_MinWaitTime,callHelp_MaxWaitTime,goalAction_ToCaution,ear_listenLevel,callHelp_ReplyBehaviorType,disablePathMove,skipArrivalVisibleCheck,thinkAttr_doAdmirer,enableNaviFlg_Edge,enableNaviFlg_LargeSpace,enableNaviFlg_Ladder,enableNaviFlg_Hole,enableNaviFlg_Door,enableNaviFlg_InSideWall,enableNaviFlg_Lava,enableNaviFlg_Edge_Ordinary,enableNaviFlg_reserve1,searchThreshold_Lv0toLv1,searchThreshold_Lv1toLv2,platoonReplyTime,platoonReplyAddRandomTime,searchEye_angX,isUpdateBattleSight,battleEye_updateDist,battleEye_updateAngX,battleEye_updateAngY,unknown_1,unknown_2,unknown_3,unknown_4,eye_BackOffsetDist,eye_BeginDist,actTypeOnFailedPath,goalAction_ToCautionImportant,shiftAnimeId_RangedAttack,actTypeOnNonBtlFailedPath,isBuddyAI,goalAction_ToSearchLv1,goalAction_ToSearchLv2,enableJumpMove,disableLocalSteering,goalAction_ToDisappear,changeStateAction_ToNormal,MemoryTargetForgetTime,rangedAttackId,useFall_onNormalCaution,useFall_onSearchBattle,enableJumpMove_onBattle,backToHomeStuckAct,pad3,soundBehaviorId01,soundBehaviorId02,soundBehaviorId03,soundBehaviorId04,soundBehaviorId05,soundBehaviorId06,soundBehaviorId07,soundBehaviorId08,weaponOffSpecialEffectId,weaponOnSpecialEffectId,weaponOffAnimId,weaponOnAnimId,surpriseAnimId,
0,,1,0,[0|0|0],11000,11000,20,20,0,0,1,0,-1,5,8,0,8,3000,0.1,-1,-1,20,0,0,0,0,75,50,6,1,7,12,3,20,0,0,100,25,60,45,0,0,0,0,0,0,0,1,128,0,0,0,0,1,1,0,0,0,0,0,0,[0|0|0],5,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,-1,0,0,2,0,1,0,1,0,5,-1,0,2,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,,1,0,[0|0|0],11000,11000,20,20,0,0,1,0,-1,5,8,0,8,-1,0.1,0,0,30,0,0,0,0,9999,9999,6,1,7,12,3,20,0,0,100,0,60,45,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0],5,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,-1,0,0,0,0,0,0,0,0,5,-1,0,0,0,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,,1,0,[0|0|0],10000,11000,20,20,0,0,1,0,-1,5,8,5,8,3000,0.1,0,0,20,0,0,0,0,75,50,6,1,7,12,3,20,0,0,100,25,60,45,0,0,0,0,0,0,0,1,128,0,0,0,0,1,1,0,0,0,0,0,0,[0|0|0],5,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,-1,0,0,2,0,1,0,1,0,5,-1,0,2,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,,1,0,[0|0|0],10000,20000,20,20,0,0,1,0,-1,5,8,5,8,3000,0.1,0,0,20,0,0,0,0,9999,9999,6,1,7,12,3,20,0,0,100,25,60,45,0,0,0,0,0,0,0,1,128,0,0,0,0,1,1,1,0,1,0,0,0,[0|0|0],5,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,-1,0,0,2,0,1,0,1,0,5,-1,2,2,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,,1,0,[0|0|0],10000,20000,20,20,0,0,1,0,-1,5,8,5,8,3000,0.1,0,0,20,0,0,0,0,9999,9999,6,1,7,12,3,20,0,0,100,25,60,45,0,0,0,0,0,0,0,1,128,0,0,0,0,1,1,1,0,1,0,0,0,[0|0|0],5,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,-1,0,0,2,0,1,0,1,0,5,-1,0,0,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,,1,0,[0|0|0],10000,21000,20,20,0,0,1,0,-1,5,8,5,8,-1,0.1,0,0,20,0,0,0,0,75,50,6,1,7,12,3,20,0,0,100,25,60,45,0,0,0,0,0,0,0,1,128,0,0,0,0,1,1,1,0,1,0,0,0,[0|0|0],5,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,-1,0,0,2,0,1,0,1,0,5,-1,2,2,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,,1,0,[0|0|0],10000,10000,20,20,0,0,1,0,-1,5,8,5,8,3000,0.1,0,0,20,0,0,0,0,75,50,6,1,7,12,3,20,0,0,100,25,60,45,0,0,0,0,0,0,0,1,128,0,0,0,0,1,1,1,0,1,0,0,0,[0|0|0],5,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,-1,0,0,2,0,1,0,1,0,5,-1,2,2,1,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100,,1,0,[0|0|0],1540,14000,20,20,0,0,1,0,-1,5,8,5,8,3000,0.1,0,0,20,0,0,0,0,75,50,6,1,7,12,3,20,0,0,100,25,60,45,0,0,0,0,0,0,0,1,128,0,0,0,0,1,1,0,0,1,0,0,1,[0|0|0],5,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,-1,0,0,2,0,0,1,1,0,5,-1,2,2,0,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
540,,1,0,[0|0|0],1540,14000,20,20,0,0,1,0,-1,5,8,5,8,3000,0.1,0,0,20,0,0,0,0,75,50,6,1,7,12,3,20,0,0,100,25,60,45,0,0,0,0,0,0,0,1,128,0,0,0,0,1,1,0,0,1,0,0,1,[0|0|0],5,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,-1,0,0,2,0,0,1,1,0,5,-1,2,2,0,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
541,,1,0,[0|0|0],1541,14000,20,20,0,0,1,0,-1,5,8,5,8,3000,0.1,0,0,20,0,0,0,0,75,50,6,1,7,12,3,20,0,0,100,25,60,45,0,0,0,0,0,0,0,1,128,0,0,0,0,1,1,0,0,1,0,0,1,[0|0|0],5,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,-1,0,0,2,0,0,1,1,0,5,-1,2,2,0,0,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
