ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,magicId,chanceWeight,
0,(0% weight),1,0,[0|0|0],-1,0
10,<Table> [Sorcery] Glintstone Pebble,0,0,[0|0|0],4000,10
10,<Table> [Sorcery] Glintstone Arc,0,0,[0|0|0],4070,20
10,<Table>,0,0,[0|0|0],4140,30
20,<Table> [Sorcery] Glintstone Pebble,0,0,[0|0|0],4000,10
20,<Table> [Sorcery] Glintstone Arc,0,0,[0|0|0],4070,20
20,<Table>,0,0,[0|0|0],4140,30
90,,1,0,[0|0|0],-1,0
4000,[Sorcery] Glintstone Pebble,1,0,[0|0|0],4000,100
4001,[Sorcery] Great Glintstone Shard,1,0,[0|0|0],4001,100
4010,[Sorcery] Swift Glintstone Shard,1,0,[0|0|0],4010,100
4020,[Sorcery] Glintstone Cometshard,1,0,[0|0|0],4020,100
4021,[Sorcery] Comet,1,0,[0|0|0],4021,100
4030,[Sorcery] Shard Spiral,1,0,[0|0|0],4030,100
4040,[Sorcery] Glintstone Stars,1,0,[0|0|0],4040,100
4050,[Sorcery] Star Shower,1,0,[0|0|0],4050,100
4060,[Sorcery] Crystal Barrage,1,0,[0|0|0],4060,100
4070,[Sorcery] Glintstone Arc,1,0,[0|0|0],4070,100
4080,[Sorcery] Cannon of Haima,1,0,[0|0|0],4080,100
4090,[Sorcery] Crystal Burst,1,0,[0|0|0],4090,100
4100,[Sorcery] Shatter Earth,1,0,[0|0|0],4100,100
4110,[Sorcery] Rock Blaster,1,0,[0|0|0],4110,100
4120,[Sorcery] Gavel of Haima,1,0,[0|0|0],4120,100
4130,[Sorcery] Terra Magica,1,0,[0|0|0],4130,100
4200,[Sorcery] Comet Azur,1,0,[0|0|0],4200,100
4210,[Sorcery] Founding Rain of Stars,1,0,[0|0|0],4210,100
4220,[Sorcery] Stars of Ruin,1,0,[0|0|0],4220,100
4300,[Sorcery] Glintblade Phalanx,1,0,[0|0|0],4300,100
4301,[Sorcery] Carian Phalanx,1,0,[0|0|0],4301,100
4302,[Sorcery] Greatblade Phalanx,1,0,[0|0|0],4302,100
4360,[Sorcery] Rennala's Full Moon,1,0,[0|0|0],4360,100
4361,[Sorcery] Ranni's Dark Moon,1,0,[0|0|0],4361,100
4370,[Sorcery] Magic Downpour,1,0,[0|0|0],4370,100
4380,[Sorcery] Loretta's Greatbow,1,0,[0|0|0],4380,100
4381,[Sorcery] Loretta's Mastery,1,0,[0|0|0],4381,100
4390,[Sorcery] Magic Glintblade,1,0,[0|0|0],4390,100
4400,[Sorcery] Glintstone Icecrag,1,0,[0|0|0],4400,100
4410,[Sorcery] Zamor Ice Storm,1,0,[0|0|0],4410,100
4420,[Sorcery] Freezing Mist,1,0,[0|0|0],4420,100
4430,[Sorcery] Carian Greatsword,1,0,[0|0|0],4430,100
4431,[Sorcery] Adula's Moonblade,1,0,[0|0|0],4431,100
4440,[Sorcery] Carian Slicer,1,0,[0|0|0],4440,100
4450,[Sorcery] Carian Piercer,1,0,[0|0|0],4450,100
4460,[Sorcery] Scholar's Armament,1,0,[0|0|0],4460,100
4470,[Sorcery] Scholar's Shield,1,0,[0|0|0],4470,100
4490,[Sorcery] Frozen Armament,1,0,[0|0|0],4490,100
4500,[Sorcery] Shattering Crystal,1,0,[0|0|0],4500,100
4510,[Sorcery] Crystal Release,1,0,[0|0|0],4510,100
4520,[Sorcery] Crystal Torrent,1,0,[0|0|0],4520,100
4600,[Sorcery] Ambush Shard,1,0,[0|0|0],4600,100
4610,[Sorcery] Night Shard,1,0,[0|0|0],4610,100
4620,[Sorcery] Night Comet,1,0,[0|0|0],4620,100
4630,[Sorcery] Thops's Barrier,1,0,[0|0|0],4630,100
4640,[Sorcery] Carian Retaliation,1,0,[0|0|0],4640,100
4641,[Sorcery] Carian Retaliation (Level 3),1,0,[0|0|0],4641,100
4642,[Sorcery] Carian Retaliation (Level 4),1,0,[0|0|0],4642,100
4650,[Sorcery] Eternal Darkness,1,0,[0|0|0],4650,100
4700,[Sorcery] Meteorite,1,0,[0|0|0],4700,100
4701,[Sorcery] Meteorite of Astel,1,0,[0|0|0],4701,100
4710,[Sorcery] Rock Sling,1,0,[0|0|0],4710,100
4720,[Sorcery] Gravity Well,1,0,[0|0|0],4720,100
4721,[Sorcery] Collapsing Stars,1,0,[0|0|0],4721,100
4800,[Sorcery] Magma Shot,1,0,[0|0|0],4800,100
4810,[Sorcery] Gelmir's Fury,1,0,[0|0|0],4810,100
4820,[Sorcery] Roiling Magma,1,0,[0|0|0],4820,100
4830,[Sorcery] Rykard's Rancor,1,0,[0|0|0],4830,100
4900,[Sorcery] Briars of Sin,1,0,[0|0|0],4900,100
4910,[Sorcery] Briars of Punishment,1,0,[0|0|0],4910,100
5000,[Sorcery] Rancorcall,1,0,[0|0|0],5000,100
5001,[Sorcery] Ancient Death Rancor,1,0,[0|0|0],5001,100
5010,[Sorcery] Explosive Ghostflame,1,0,[0|0|0],5010,100
5030,[Sorcery] Tibia's Summons,1,0,[0|0|0],5030,100
5040,[Incantation] Death Lightning,1,0,[0|0|0],5040,100
5100,[Sorcery] Oracle Bubbles,1,0,[0|0|0],5100,100
5110,[Sorcery] Great Oracular Bubble,1,0,[0|0|0],5110,100
6000,[Incantation] Catch Flame,1,0,[0|0|0],6000,100
6001,[Incantation] O- Flame!,1,0,[0|0|0],6001,100
6010,[Incantation] Flame Sling,1,0,[0|0|0],6010,100
6020,[Incantation] Flame- Fall Upon Them,1,0,[0|0|0],6020,100
6030,[Incantation] Whirl- O Flame!,1,0,[0|0|0],6030,100
6050,[Incantation] Flame- Grant Me Strength,1,0,[0|0|0],6050,100
6060,[Incantation] Flame- Protect Me,1,0,[0|0|0],6060,100
6100,[Incantation] Giantsflame Take Thee,1,0,[0|0|0],6100,100
6110,[Incantation] Flame of The Fell God,1,0,[0|0|0],6110,100
6120,[Incantation] Burn- O Flame!,1,0,[0|0|0],6120,100
6210,[Incantation] Black Flame,1,0,[0|0|0],6210,100
6220,[Incantation] Surge- O Flame!,1,0,[0|0|0],6220,100
6230,[Incantation] Scouring Black Flame,1,0,[0|0|0],6230,100
6240,[Incantation] Black Flame Ritual,1,0,[0|0|0],6240,100
6250,[Incantation] Black Flame Blade,1,0,[0|0|0],6250,100
6260,[Incantation] Black Flame's Protection,1,0,[0|0|0],6260,100
6270,[Incantation] Noble Presence,1,0,[0|0|0],6270,100
6300,[Incantation] Bloodflame Talons,1,0,[0|0|0],6300,100
6310,[Incantation] Bloodboon,1,0,[0|0|0],6310,100
6320,[Incantation] Bloodflame Blade,1,0,[0|0|0],6320,100
6330,[Incantation] Barrier of Gold,1,0,[0|0|0],6330,100
6340,[Incantation] Protection of The Erdtree,1,0,[0|0|0],6340,100
6400,[Incantation] Rejection,1,0,[0|0|0],6400,100
6410,[Incantation] Wrath of Gold,1,0,[0|0|0],6410,100
6420,[Incantation] Urgent Heal,1,0,[0|0|0],6420,100
6421,[Incantation] Heal,1,0,[0|0|0],6421,100
6422,[Incantation] Great Heal,1,0,[0|0|0],6422,100
6423,[Incantation] Lord's Heal,1,0,[0|0|0],6423,100
6424,[Incantation] Erdtree Heal,1,0,[0|0|0],6424,100
6430,[Incantation] Blessing's Boon,1,0,[0|0|0],6430,100
6431,[Incantation] Blessing of The Erdtree,1,0,[0|0|0],6431,100
6450,[Incantation] Flame Fortification,1,0,[0|0|0],6450,100
6460,[Incantation] Magic Fortification,1,0,[0|0|0],6460,100
6470,[Incantation] Lightning Fortification,1,0,[0|0|0],6470,100
6480,[Incantation] Divine Fortification,1,0,[0|0|0],6480,100
6490,[Incantation] Lord's Divine Fortification,1,0,[0|0|0],6490,100
6500,[Sorcery] Night Maiden's Mist,1,0,[0|0|0],6500,100
6520,[Incantation] Shadow Bait,1,0,[0|0|0],6520,100
6530,[Incantation] Darkness,1,0,[0|0|0],6530,100
6600,[Incantation] Golden Vow,1,0,[0|0|0],6600,100
6700,[Incantation] Discus of Light,1,0,[0|0|0],6700,100
6701,[Incantation] Triple Rings of Light,1,0,[0|0|0],6701,100
6710,[Incantation] Radagon's Rings of Light,1,0,[0|0|0],6710,100
6720,[Incantation] Elden Stars,1,0,[0|0|0],6720,100
6730,[Incantation] Law of Regression,1,0,[0|0|0],6730,100
6740,[Incantation] Immutable Shield,1,0,[0|0|0],6740,100
6750,[Incantation] Litany of Proper Death,1,0,[0|0|0],6750,100
6760,[Incantation] Law of Causality,1,0,[0|0|0],6760,100
6770,[Incantation] Order's Blade,1,0,[0|0|0],6770,100
6800,[Incantation] Bestial Sling,1,0,[0|0|0],6800,100
6810,[Incantation] Stone of Gurranq,1,0,[0|0|0],6810,100
6820,[Incantation] Beast Claw,1,0,[0|0|0],6820,100
6830,[Incantation] Gurranq's Beast Claw,1,0,[0|0|0],6830,100
6840,[Incantation] Bestial Vitality,1,0,[0|0|0],6840,100
6900,[Incantation] Lightning Spear,1,0,[0|0|0],6900,100
6910,[Incantation] Ancient Dragons' Lightning Strike,1,0,[0|0|0],6910,100
6920,[Incantation] Lightning Strike,1,0,[0|0|0],6920,100
6921,[Incantation] Frozen Lightning Spear,1,0,[0|0|0],6921,100
6930,[Incantation] Honed Bolt,1,0,[0|0|0],6930,100
6940,[Incantation] Ancient Dragons' Lightning Spear,1,0,[0|0|0],6940,100
6941,[Incantation] Fortissax's Lightning Spear,1,0,[0|0|0],6941,100
6950,[Incantation] Lansseax's Glaive,1,0,[0|0|0],6950,100
6960,[Incantation] Electrify Armament,1,0,[0|0|0],6960,100
6971,[Incantation] Dragonbolt Blessing,1,0,[0|0|0],6971,100
7000,[Incantation] Dragonfire,1,0,[0|0|0],7000,100
7001,[Incantation] Agheel's Flame,1,0,[0|0|0],7001,100
7010,[Incantation] Magma Breath,1,0,[0|0|0],7010,100
7011,[Incantation] Theodorix's Magma,1,0,[0|0|0],7011,100
7020,[Incantation] Dragonice,1,0,[0|0|0],7020,100
7021,[Incantation] Borealis's Mist,1,0,[0|0|0],7021,100
7030,[Incantation] Rotten Breath,1,0,[0|0|0],7030,100
7031,[Incantation] Ekzykes's Decay,1,0,[0|0|0],7031,100
7040,[Incantation] Glintstone Breath,1,0,[0|0|0],7040,100
7041,[Incantation] Smarag's Glint Breath,1,0,[0|0|0],7041,100
7050,[Incantation] Placidusax's Ruin,1,0,[0|0|0],7050,100
7060,[Incantation] Dragonclaw,1,0,[0|0|0],7060,100
7080,[Incantation] Dragonmaw,1,0,[0|0|0],7080,100
7090,[Incantation] Greyoll's Roar,1,0,[0|0|0],7090,100
7200,[Incantation] Pest Threads,1,0,[0|0|0],7200,100
7210,[Incantation] Swarm of Flies,1,0,[0|0|0],7210,100
7220,[Incantation] Poison Mist,1,0,[0|0|0],7220,100
7230,[Incantation] Poison Armament,1,0,[0|0|0],7230,100
7240,[Incantation] Scarlet Aeonia,1,0,[0|0|0],7240,100
7310,[Incantation] The Flame of Frenzy,1,0,[0|0|0],7310,100
