ID,Name,a000_rightArmIO,a000_rightArmFB,a000_leftArmIO,a000_leftArmFB,a002_rightArmIO,a002_rightArmFB,a002_leftArmIO,a002_leftArmFB,a003_rightArmIO,a003_rightArmFB,a003_leftArmIO,a003_leftArmFB,a010_rightArmIO,a010_rightArmFB,a010_leftArmIO,a010_leftArmFB,a012_rightArmIO,a012_rightArmFB,a012_leftArmIO,a012_leftArmFB,a013_rightArmIO,a013_rightArmFB,a013_leftArmIO,a013_leftArmFB,a014_rightArmIO,a014_rightArmFB,a014_leftArmIO,a014_leftArmFB,a015_rightArmIO,a015_rightArmFB,a015_leftArmIO,a015_leftArmFB,
0,Default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Fat (Raider),0,10,0,10,0,10,0,10,0,10,0,10,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
